Run time, Error, Target angle
128, -12.15703, 24.82476
328, -7.727344, 23.27929
470, -5.167969, 22.33103
665, -0.6398437, 22.31796
798, 1.033594, 22.59053
991, 2.264062, 23.07656
1123, 2.411719, 23.56607
1318, 1.624219, 23.8717
1452, 0.39375, 23.90603
1648, -2.411719, 23.35352
1789, -4.921875, 22.28114
1922, -8.465626, 20.45641
2119, -12.10781, 17.94135
2246, -13.53516, 15.17592
2433, -14.76563, 12.18885
4593, -14.86406, 9.216042
4713, -12.84609, 6.646823
4897, -4.921875, 5.867784
5024, -0.4429688, 5.957235
5211, 5.364843, 7.187227
5340, 8.268749, 8.956115
5528, 9.745312, 10.94731
5652, 10.43438, 13.06284
5841, 9.84375, 15.01768
5961, 8.859375, 16.75053
6153, 7.284375, 18.16627
6281, 6.989062, 19.55091
6478, 4.872656, 20.4733
6611, 3.100781, 21.02766
6802, -0.590625, 20.81365
6930, -4.478907, 19.76926
7116, -9.794531, 17.66796
7245, -12.20625, 15.13039
7433, -13.63359, 12.36334
7555, -15.06094, 9.293326
9569, -13.3875, 6.615826
9687, -11.46797, 4.322232
9871, -3.9375, 3.731909
9995, 0.3445313, 3.974956
10177, 6.496875, 5.442679
10301, 8.908594, 7.325933
10488, 10.33594, 9.434082
10612, 11.51719, 11.78439
10799, 10.48359, 13.85652
10926, 10.43438, 15.94012
11112, 7.924219, 17.46012
11241, 7.48125, 18.93628
11433, 5.217188, 19.92259
11563, 4.085156, 20.6953
11755, -0.04921875, 20.58031
11884, -3.199219, 19.81936
12076, -8.317968, 18.02228
12201, -11.8125, 15.52038
12386, -13.04297, 12.87415
12510, -14.76563, 9.853992
14420, -15.55313, 6.743366
14538, -13.87969, 3.967428
14726, -9.450001, 2.190455
14845, -4.183594, 1.566552
15025, 3.789844, 2.545639
15146, 7.333593, 4.164582
15266, 10.28672, 6.346787
15453, 10.97578, 8.564713
15576, 11.66484, 10.92516
15765, 10.97578, 13.10385
16077, 9.646875, 15.01212
16200, 9.548437, 16.91673
16387, 6.447657, 18.12693
16515, 5.610937, 19.21344
16710, 2.903906, 19.72614
16835, -0.7382813, 19.43744
17024, -5.709375, 18.16367
17151, -9.351563, 16.15064
17341, -12.94453, 13.46573
17461, -14.12578, 10.58803
17647, -15.60234, 7.427552
19374, -15.45469, 4.336615
19494, -13.78125, 1.580364
19676, -8.760937, -0.03968
19797, -3.396094, -0.5027367
19982, 5.5125, 0.8407701
20100, 9.00703, 2.794909
20219, 11.56641, 5.219436
20406, 11.56641, 7.537258
20529, 11.91094, 9.932877
20715, 11.56641, 12.23783
21327, 10.68047, 14.36668
21453, 9.942188, 16.32713
21646, 4.675781, 17.12949
21775, 2.854688, 17.62676
21963, -2.75625, 16.92935
22088, -6.398438, 15.50395
22274, -11.17266, 13.1397
22398, -13.09219, 10.4407
22584, -14.81484, 7.430022
22708, -15.15937, 4.382215
24451, -13.48594, 1.685028
24576, -11.56641, -0.6282532
24759, -4.085156, -1.248366
24880, 2.214844, -0.5489795
25002, 6.447657, 0.9177431
