Run time, Error, Target angle
134, -8.6625, 29.99367
266, -8.219532, 20.13023
397, -4.478907, 14.89014
531, -7.776563, 5.448891
650, -12.99375, -10.35593
771, -15.01172, -28.46134
893, -11.17266, -41.7275
1025, 0.2953125, -40.94936
1156, 11.36953, -26.8862
1275, 14.66719, -9.129395
1413, 14.37188, 8.115255
1534, 15.20859, 26.39842
1782, -1.476563, 24.3054
1917, -0.9351563, 23.18427
2054, -1.427344, 21.45454
2189, -9.597656, 9.650655
2308, -15.55313, -9.265613
2541, -11.07422, -22.47042
2663, -12.64922, -37.70536
2789, -2.854688, -40.7714
2922, 12.69844, -24.96128
4016, 14.47031, -7.596905
4154, 6.3, -0.03690434
4276, -12.50156, -15.75663
4519, -4.872656, -21.47458
4647, 2.903906, -17.69634
4769, 14.66719, 0.3784904
5570, 6.546094, 8.18833
5687, -4.774219, 1.999728
6254, -14.175, -15.09838
6371, -7.678125, -24.0598
6487, 15.01172, -5.106741
7274, 7.875, 4.307772
7394, -4.774219, -1.913921
7620, -15.60234, -20.8849
7862, -1.575, -22.50112
7993, 6.644531, -14.21847
8117, 15.20859, 4.377613
8348, 14.02734, 21.19722
8596, 4.085156, 25.90479
8724, 2.460938, 28.78679
8849, -10.63125, 15.53639
9774, -12.74766, 0.2236404
9903, -1.575, -1.262327
10483, 12.30469, 13.62701
10606, 3.789844, 17.85965
11402, -14.12578, 0.7941666
11523, -6.004687, -6.103652
11638, 15.20859, 13.02921
11986, 8.957813, 23.71032
12114, 5.660156, 30.37815
12234, -13.09219, 13.9212
13030, -15.35625, -4.527767
13153, -7.0875, -12.72075
13932, 12.45234, 2.349363
14051, 2.559375, 5.038976
14166, -15.45469, -14.27009
14401, -9.302343, -25.33171
14524, -6.742969, -33.3186
14654, 10.04062, -20.65553
15737, 10.43438, -8.134277
15872, 0.7875, -7.189277
15991, -12.79688, -23.07634
16107, -12.84609, -38.52772
16239, -2.657813, -41.35256
16369, 7.776563, -31.62149
16495, 9.450001, -20.19531
16626, 0.984375, -19.31159
16755, -5.167969, -25.75683
