Run time, Error, Target angle
122, -15.15937, 22.98689
244, -14.71641, 20.04361
430, -12.6, 17.57788
560, -11.8125, 15.24706
688, -9.499218, 13.43478
882, -5.660156, 12.40076
1012, -4.035937, 11.65857
1198, -1.722656, 11.37602
1321, 0.39375, 11.53934
1512, 1.919531, 11.96518
1634, 2.953125, 12.59782
1824, 4.282031, 13.48948
1953, 2.903906, 14.022
2146, 3.002344, 14.623
2273, 6.792188, 16.12188
2464, 7.235156, 17.58566
2588, 7.628906, 19.12749
2712, 7.432032, 20.60746
2908, 6.201563, 21.81735
3038, 6.201563, 23.0559
3230, 3.297656, 23.64311
3355, 3.396094, 24.3217
3543, 3.248437, 24.96758
3671, 3.396094, 25.652
3859, 2.903906, 26.2205
3984, 2.854688, 26.78883
4110, 2.510156, 27.27794
4298, 2.165625, 27.70175
4427, 2.067187, 28.11102
4616, 1.525781, 28.40234
4748, 1.230469, 28.63701
4942, 0.590625, 28.73884
5071, 0.2953125, 28.78626
5264, -0.2460938, 28.72304
5395, -0.6890625, 28.56849
5583, -1.378125, 28.2746
5709, -1.722656, 27.91623
5907, -2.411719, 27.41654
6033, -3.051562, 26.78132
6227, -3.888281, 25.98196
6353, -4.774219, 24.99302
6545, -6.004687, 23.75996
6674, -6.890625, 22.34762
6866, -7.727344, 20.77976
6999, -8.564062, 19.036
7189, -8.071875, 17.43281
7316, -7.185938, 16.02911
7505, -6.595312, 14.72631
7638, -7.579687, 13.17613
7827, -8.6625, 11.41476
7949, -9.253124, 9.53964
8072, -8.317968, 7.910004
8255, -5.955469, 6.782184
8380, -6.644531, 5.431152
8568, -7.628906, 3.879355
8687, -8.71172, 2.092736
8877, -8.71172, 0.3486035
9002, -8.957813, -1.452251
9187, -6.595312, -2.710479
9309, -6.792188, -4.072765
9495, -7.185938, -5.520261
9620, -7.48125, -7.028323
9807, -7.185938, -8.458419
9934, -7.579687, -9.988526
10123, -6.841406, -11.33873
10246, -7.038281, -12.7528
10439, -6.349218, -14.00576
10565, -6.3, -15.2629
10759, -5.315625, -16.30166
10883, -6.546094, -17.65603
11076, -5.807813, -18.80101
11208, -5.857031, -19.97324
11399, -5.364843, -21.03394
11521, -5.660156, -22.17666
11710, -5.11875, -23.1871
11839, -5.069531, -24.19843
12030, -4.380468, -25.05711
12162, -3.839063, -25.80473
12352, -3.248437, -26.43869
12485, -2.903906, -27.00627
12678, -2.559375, -27.50905
12804, -2.017969, -27.89205
12997, -1.575, -28.19515
13122, -1.033594, -28.38096
13310, -0.590625, -28.48687
13434, -0.2460938, -28.5224
13624, 0.3445313, -28.43803
13752, 0.7382813, -28.27487
13946, 1.575, -27.93865
14073, 2.165625, -27.48222
14266, 3.051562, -26.84905
14392, 3.789844, -26.06195
14582, 4.921875, -25.04781
14707, 5.414063, -23.94486
14897, 5.955469, -22.73921
15026, 6.250781, -21.47751
15218, 6.644531, -20.1383
15350, 7.284375, -18.65798
15540, 8.219532, -16.98951
15669, 8.317968, -15.32086
15870, 8.514843, -13.61299
16008, 9.154688, -11.76001
16197, 7.924219, -10.20551
16322, 7.924219, -8.622487
16515, 8.760937, -6.849553
16645, 8.514843, -5.154364
16832, 8.564062, -3.440611
16962, 8.564062, -1.727744
17149, 9.00703, 0.08496666
17272, 9.302343, 1.957489
17462, 8.317968, 3.596827
17588, 7.382813, 5.03677
17776, 6.69375, 6.356452
17897, 7.0875, 7.787933
18086, 6.890625, 9.161602
18212, 7.0875, 10.58613
18400, 6.496875, 11.87065
18523, 6.792188, 13.23946
