"Run time, Error, Target angle"
"137, -14.02734, 24.20293"
"270, -12.69844, 8.964809"
"399, 0.6398437, 10.21957"
"514, 14.56875, 28.29517"
"756, -2.707031, 24.71873"
"888, 0.6890625, 25.64828"
"1020, 2.3625, 28.54844"
"1144, 0.6890625, 29.31583"
"1268, -3.100781, 25.44658"
"1399, -5.364843, 18.91881"
"1525, -6.152344, 11.50152"
"1653, -3.346875, 7.586426"
"1774, -1.427344, 5.95428"
"1893, -0.196875, 5.771546"
"2016, -3.986719, 0.8460379"
"2142, -7.382813, -8.149516"
"2265, -7.284375, -16.89528"
"2387, -1.771875, -18.80972"
"2513, 3.54375, -14.3478"
"2645, 0.984375, -13.24607"
"2767, -4.921875, -19.38623"
"2894, -7.0875, -27.98525"
"3017, -4.134375, -32.84028"
"3141, 0.196875, -32.43221"
"3266, 3.54375, -28.04457"
"3393, 3.592969, -23.72315"
"3522, 1.033594, -22.5757"
"3648, -1.624219, -24.62871"
"3775, -0.1476563, -24.75732"
"3907, 2.264062, -21.95152"
"4039, 5.660156, -15.03295"
"4169, 8.121094, -5.190454"
"4293, 6.890625, 3.037533"
"4417, 2.067187, 5.334328"
"4542, -2.214844, 2.50318"
"4660, 1.132031, 3.983523"
"4779, 6.103125, 11.5091"
"4902, 9.203907, 22.68444"
"5026, 6.546094, 30.44693"
"5155, -2.264062, 27.40302"
"5282, -5.315625, 20.89193"
"5408, -1.821094, 18.82919"
"5536, 4.528125, 24.5054"
"5670, 5.217188, 30.80389"
"5795, 2.707031, 33.96019"
"5924, -1.033594, 32.57797"
"6047, -4.921875, 26.51464"
"6182, -5.90625, 19.38397"
"6308, -1.673438, 17.53127"
"6435, 0.8859375, 18.69838"
"6563, 0.39375, 19.15886"
"6687, -2.903906, 15.5485"
"6815, -6.841406, 7.187762"
"6942, -9.499218, -4.319476"
"7066, -4.921875, -10.06007"
"7183, 1.328906, -8.202609"
"7306, 2.460938, -5.190295"
"7428, -2.017969, -7.779267"
"7549, -8.514843, -18.26136"
"7674, -9.892969, -30.20057"
"7804, -1.624219, -31.85597"
"7937, 4.528125, -26.18741"
"8067, 3.494531, -22.01807"
"8193, -1.082813, -23.48845"
"8329, -4.528125, -29.05222"
"8455, -3.888281, -33.70211"
"8581, 2.264062, -30.75291"
"8711, 6.349218, -22.97239"
"8841, 6.841406, -14.73575"
"8973, 3.346875, -10.8437"
"9097, 0.6398437, -10.18594"
"9215, 1.082813, -8.876022"
"9335, 4.429688, -3.428961"
"9453, 6.989062, 5.068694"
"9573, 6.742969, 13.15753"
"9696, 2.313281, 15.76546"
"9819, -1.525781, 13.77653"
"9940, -0.2953125, 13.45982"
"10063, 3.445313, 17.7393"
"10193, 5.5125, 24.43759"
"10315, 4.429688, 29.71666"
"10452, -1.624219, 27.55677"
"10579, -0.7875, 26.63034"
"10710, 0.04921875, 26.7208"
"10840, 1.082813, 28.05916"
"10967, 0.6890625, 28.87375"
"11096, -0.4429688, 28.29984"
"11220, -2.214844, 25.57233"
"11350, -3.839063, 20.90302"
"11483, -5.217188, 14.58961"
"11611, -4.971094, 8.630218"
"11739, -1.18125, 7.352439"
"11863, 0.2953125, 7.771189"
"11982, -3.051562, 3.981538"
"12107, -7.432032, -5.10928"
"12229, -8.810156, -15.74504"
"12351, -3.740625, -20.04116"
"12472, 3.396094, -15.67725"
"12602, 3.051562, -12.01122"
"12727, -3.297656, -16.20514"
"12853, -8.613281, -26.75355"
"12977, -7.284375, -35.45697"
"13105, 0.3445313, -34.76283"
"13241, 6.103125, -27.22355"
"13368, 5.955469, -20.06975"
"13496, -1.18125, -21.75123"
"13624, -4.282031, -27.01915"
"13753, -1.722656, -29.00042"
"13889, 5.069531, -22.67633"
"14019, 8.859375, -11.89384"
"14149, 7.136719, -3.383101"
"14273, 2.953125, -0.002321482"
"14395, 0.8859375, 0.9712912"
"14513, 2.657813, 4.224838"
"14632, 5.266406, 10.65213"
"14753, 4.380468, 15.8812"
"14878, 4.380468, 21.1361"
"15004, 0.6398437, 21.76419"
"15128, 0.8367188, 22.76729"
"15258, 0.7875, 23.71046"
"15389, 2.657813, 26.96752"
"15513, 2.608594, 30.10003"
"15638, 1.427344, 31.76822"
"15764, -0.4921875, 31.10385"
"15893, -1.96875, 28.68316"
"16023, -2.608594, 25.5263"
"16150, -1.427344, 23.85568"
"16281, -0.984375, 22.69279"
"16408, -2.116406, 20.11224"
"16544, -3.986719, 15.26096"
"16670, -5.758594, 8.279993"
"16800, -5.020312, 2.278137"
"16921, -1.082813, 1.132818"
"17039, -1.427344, -0.5839703"
"17161, -4.626562, -6.258233"
"17282, -6.053906, -13.58631"
"17399, -4.577344, -19.02451"
"17526, -0.4921875, -19.46057"
"17653, 1.230469, -17.91052"
"17779, -0.8367188, -18.98738"
