"Run time, Error, Target angle"
"127, -8.022655, 28.61271"
"254, -0.8859375, 28.43552"
"383, 1.624219, 28.85268"
"518, -1.575, 28.43093"
"645, -9.105469, 26.32454"
"766, -15.50391, 22.96012"
"1709, -11.76328, 20.62492"
"1838, -3.199219, 20.30106"
"1968, 4.429688, 21.48171"
"2102, 2.805469, 22.00212"
"2230, 0.2460938, 21.95554"
"2357, -9.00703, 19.80307"
"3298, -14.02734, 16.9682"
"3427, -7.432032, 15.72087"
"3555, 6.053906, 17.43788"
"3684, 6.841406, 18.86475"
"3810, 6.103125, 20.0613"
"3938, 2.3625, 20.39584"
"4060, -8.810156, 18.19211"
"4972, -12.30469, 15.70838"
"5104, -2.953125, 15.45054"
"5230, 5.709375, 16.93552"
"5358, 7.038281, 18.41213"
"5485, 6.3, 19.64884"
"5610, 1.771875, 19.83154"
"5739, -8.957813, 17.63533"
"6666, -11.41875, 15.33498"
"6794, -0.7875, 15.56748"
"6919, 6.201563, 17.09183"
"7047, 7.530469, 18.66342"
"7175, 6.250781, 19.87003"
"7301, -0.4429688, 19.529"
"7423, -11.27109, 16.84602"
"8350, -8.317968, 15.19459"
"8479, 2.067187, 15.98787"
"8603, 6.939844, 17.58337"
"8732, 7.48125, 19.11145"
"8856, 5.020312, 20.02487"
"8988, -2.903906, 19.15584"
"9108, -13.43672, 16.039"
"9908, -14.47031, 13.13431"
"10036, -4.921875, 12.50306"
"10162, 5.660156, 14.05105"
"10289, 8.121094, 15.79097"
"10416, 8.6625, 17.55035"
"10543, 5.020312, 18.42106"
"10666, -2.707031, 17.57652"
"10786, -12.94453, 14.56872"
"11573, -13.04297, 11.95532"
"11701, -5.069531, 11.23654"
"11829, 5.315625, 12.69595"
"12195, 8.564062, 14.46063"
"12320, 2.460938, 14.72469"
"12444, -10.33594, 12.15886"
"13238, -13.3875, 9.457417"
"13363, -2.854688, 9.284133"
"13487, 9.499218, 11.67606"
"13845, 10.63125, 13.8284"
"13971, 5.955469, 14.84652"
"14099, -8.514843, 12.59725"
"14887, -14.12578, 9.731385"
"15013, -4.429688, 9.204938"
"15137, 8.613281, 11.4396"
"15496, 11.36953, 13.7623"
"15623, 7.235156, 15.05904"
"15747, -7.579687, 12.97269"
"15868, -15.45469, 9.54384"
