Run time, Error, Target angle
130, -13.09219, 23.82108
332, -10.68047, 21.68498
458, -8.465626, 20.07453
590, -4.577344, 19.30267
783, 0.7875, 19.59934
912, 2.165625, 20.09086
1103, 3.839063, 20.90329
1298, 5.11875, 21.96015
1424, 5.610937, 23.10252
1620, 4.971094, 24.08177
1753, 4.774219, 25.02879
1945, 3.199219, 25.62874
2143, 1.18125, 25.8147
2268, 0.04921875, 25.7793
2398, -0.984375, 25.54206
2598, -3.888281, 24.69304
2732, -6.644531, 23.26306
2927, -9.646875, 21.25537
3117, -11.96016, 18.80207
3245, -13.3875, 16.06849
3438, -12.84609, 13.51058
3561, -14.12578, 10.63762
3756, -14.51953, 7.722079
3885, -14.76563, 4.759294
4015, -14.81484, 1.794017
4201, -15.30703, -1.280238
4504, -15.01172, -4.278176
5718, -13.78125, -7.034427
5901, -11.32031, -9.29849
6030, -10.2375, -11.30617
6221, -5.660156, -12.32216
6347, -4.035937, -13.06183
6534, 0.7382813, -12.78897
6662, 3.986719, -11.86483
6855, 8.022655, -10.15539
6984, 10.82813, -7.880446
7174, 11.61563, -5.533036
7366, 12.99375, -2.89886
7495, 14.51953, 0.06280804
7682, 14.22422, 2.902435
9737, 11.41875, 5.186186
9860, 10.33594, 7.253373
10047, 6.546094, 8.465891
10170, 4.478907, 9.276871
10360, -0.2953125, 9.093812
10487, -2.657813, 8.466702
10675, -7.136719, 6.921196
10795, -9.942188, 4.816692
10984, -11.71406, 2.424209
11108, -12.69844, -0.1557724
11292, -13.48594, -2.875143
11412, -13.92891, -5.67976
11596, -11.96016, -8.021292
11719, -12.79688, -10.60954
11901, -10.68047, -12.69143
12026, -11.07422, -14.91783
12212, -8.613281, -16.57752
12337, -8.170313, -18.19116
12525, -8.268749, -19.84659
12650, -7.235156, -21.25485
12845, -4.232813, -22.02593
12974, -2.75625, -22.51846
13166, -0.0, -22.4472
13293, 2.313281, -21.89464
13480, 5.364843, -20.74016
13608, 7.973438, -19.04476
13798, 10.92656, -16.78041
13923, 12.10781, -14.31006
14116, 13.19062, -11.64307
14244, 13.97812, -8.816791
14431, 13.87969, -6.042126
14551, 14.76563, -3.054462
14736, 15.15937, -0.01089907
17025, 13.28906, 2.646914
17147, 11.46797, 4.940507
17334, 5.266406, 5.834739
17459, 2.75625, 6.282073
17649, -1.624219, 5.841827
17769, -4.429688, 4.839088
17958, -8.514843, 3.028242
18083, -10.82813, 0.7684591
18268, -11.91094, -1.645505
18392, -12.55078, -4.182022
18576, -11.12344, -6.370624
18701, -11.91094, -8.780062
18884, -11.51719, -11.07432
19009, -11.17266, -13.29525
19199, -9.253124, -15.09709
19324, -9.351563, -16.96819
19516, -7.48125, -18.4177
19644, -8.810156, -20.22587
19835, -6.349218, -21.43571
19957, -4.774219, -22.32678
20156, -1.96875, -22.64996
20282, 0.196875, -22.52556
20475, 2.854688, -21.88547
20607, 5.167969, -20.76468
20801, 8.71172, -18.93161
20927, 11.07422, -16.62249
21117, 12.20625, -14.14886
21245, 13.33828, -11.43799
21437, 13.92891, -8.635643
21562, 14.51953, -5.708534
21751, 14.37188, -2.83697
21875, 15.25781, 0.2477412
24070, 14.07656, 3.063054
24193, 12.6, 5.583054
24385, 6.841406, 6.80734
24508, 4.725, 7.662786
24694, -0.6890625, 7.381731
24881, -4.872656, 6.294635
25000, -7.185938, 4.758508
25124, -9.84375, 2.683887
25309, -11.32031, 0.3771963
25433, -12.35391, -2.135638
25620, -12.45234, -4.630348
25739, -12.45234, -7.121083
25926, -11.36953, -9.367372
26049, -11.96016, -11.78027
26238, -10.18828, -13.77357
26362, -10.58203, -15.90213
26550, -8.908594, -17.64164
26681, -6.841406, -18.93257
26871, -7.973438, -20.55261
26996, -6.595312, -21.82098
27189, -3.199219, -22.37432
27315, -1.722656, -22.65905
27506, 1.279687, -22.32526
27631, 3.346875, -21.57349
27822, 6.595312, -20.1695
27956, 8.613281, -18.37047
28146, 11.56641, -15.97992
28273, 12.64922, -13.40507
28464, 13.28906, -10.72946
28592, 13.87969, -7.930594
28779, 14.02734, -5.120402
28900, 15.06094, -2.068159
31389, 13.87969, 0.7077789
31514, 12.15703, 3.139185
31703, 5.561719, 4.0841
31822, 2.559375, 4.467238
32005, -2.510156, 3.827822
32133, -5.020312, 2.722661
32321, -8.957813, 0.8270555
32441, -10.72969, -1.394589
32562, -11.61563, -3.757041
32747, -10.82813, -5.903979
32871, -11.12344, -8.138729
33057, -10.53281, -10.23048
33180, -10.68047, -12.37135
33365, -10.08984, -14.37428
33488, -9.84375, -16.33273
33619, -8.564062, -17.99856
33813, -8.514843, -19.69848
33941, -7.973438, -21.27308
34129, -6.152344, -22.45626
34260, -6.053906, -23.66075
34450, -4.577344, -24.53867
34578, -4.429688, -25.41698
34769, -3.54375, -26.10327
34902, -3.494531, -26.79916
35092, -2.313281, -27.23186
35225, -2.214844, -27.66965
35422, -2.214844, -28.11242
35547, -2.116406, -28.53201
35741, -1.427344, -28.80028
