"Run time, Error, Target angle"
"131, -14.71641, 20.09933"
"259, -13.92891, 3.384647"
"391, -4.872656, -2.1413"
"511, 10.87734, 11.54693"
"744, 9.05625, 22.39755"
"868, 9.597656, 33.93424"
"998, 0.984375, 34.80444"
"1127, -7.185938, 25.86726"
"1256, -6.349218, 18.2605"
"1381, 1.673438, 20.57106"
"1507, 8.219532, 30.69877"
"1635, 4.872656, 36.43834"
"1767, -1.378125, 34.55516"
"1897, -6.004687, 27.16862"
"2025, -5.610937, 20.43939"
"2149, 2.3625, 23.57674"
"2277, 5.758594, 30.62861"
"2404, 3.002344, 34.13695"
"2529, -2.116406, 31.39911"
"2656, -5.561719, 24.58675"
"2784, -4.774219, 18.87871"
"2914, -0.04921875, 18.99086"
"3041, 3.888281, 23.81278"
"3173, 2.214844, 26.41967"
"3305, -3.9375, 21.47038"
"3430, -6.398438, 13.68629"
"3558, -4.872656, 7.889009"
"3684, 0.7875, 9.046654"
"3803, 5.315625, 15.61706"
"3925, 3.100781, 19.26452"
"4048, -5.561719, 12.25526"
"4168, -9.351563, 0.8644495"
"4291, -6.496875, -6.832314"
"4412, 1.132031, -5.174269"
"4531, 6.004687, 2.243709"
"4652, 3.494531, 6.352925"
"4770, -4.971094, 0.04893017"
"4889, -9.942188, -12.0987"
"5011, -6.69375, -20.01951"
"5132, 1.378125, -18.0434"
"5256, 6.546094, -9.97283"
"5385, 4.429688, -4.721962"
"5503, -5.11875, -11.24457"
"5624, -10.18828, -23.69052"
"5746, -7.284375, -32.33352"
"5877, 3.199219, -28.10883"
"6003, 7.825781, -18.5223"
"6132, 3.396094, -14.59625"
"6261, -4.33125, -20.08453"
"6387, -7.48125, -29.19789"
"6514, -4.675781, -34.7136"
"6642, 1.624219, -32.52728"
"6770, 5.610937, -25.63365"
"6897, 4.872656, -19.80449"
"7024, -2.264062, -22.78683"
"7154, -5.364843, -29.35234"
"7284, -3.691406, -33.72874"
"7413, 2.264062, -30.79135"
"7546, 4.971094, -24.71833"
"7675, 3.642188, -20.39027"
"7805, 0.2953125, -20.15876"
"7943, -1.230469, -21.69429"
"8069, 0.196875, -21.40789"
"8208, 1.525781, -19.52935"
"8344, 2.953125, -15.93303"
"8476, 4.232813, -10.80495"
"8601, 3.740625, -6.331675"
"8721, -0.04921875, -6.540963"
"8841, -1.230469, -8.072596"
"8961, 0.7875, -7.051573"
"9079, 2.608594, -3.844775"
"9200, 4.725, 1.912004"
"9324, 3.986719, 6.673326"
"9441, 1.18125, 7.976204"
"9564, -0.8859375, 6.827188"
"9684, 0.196875, 7.100408"
"9802, 2.313281, 9.962013"
"9926, 3.9375, 14.75423"
"10047, 4.626562, 20.33697"
"10169, -0.590625, 19.4309"
