Run time, Error, Target angle
122, -15.06094, 22.96534
306, -14.42109, 20.08113
434, -13.53516, 17.40692
623, -11.71406, 15.11166
749, -9.203907, 13.36668
937, -5.5125, 12.36226
1067, -4.429688, 11.52123
1253, -1.427344, 11.31541
1373, -0.2953125, 11.30515
1497, 0.39375, 11.41318
1682, 1.427344, 11.72663
1808, 2.510156, 12.27043
2001, 3.691406, 13.03976
2131, 4.528125, 13.9775
2322, 3.199219, 14.58523
2452, 5.857031, 15.85111
2644, 6.447657, 17.15927
2768, 7.038281, 18.59042
2964, 6.69375, 19.92164
3094, 6.644531, 21.24833
3223, 6.103125, 22.44906
3417, 3.297656, 23.0387
3544, 2.953125, 23.61244
3734, 2.707031, 24.14695
3856, 3.002344, 24.75836
4041, 2.510156, 25.24809
4164, 2.707031, 25.79626
4354, 2.707031, 26.33794
4483, 2.657813, 26.86772
4671, 2.460938, 27.35481
4797, 2.214844, 27.78822
4986, 2.017969, 28.18646
5114, 1.96875, 28.57807
5307, 1.378125, 28.83899
5435, 1.230469, 29.07879
5629, 0.8859375, 29.2472
5755, 0.3445313, 29.29538
5944, 0.04921875, 29.29689
6072, -0.2460938, 29.23615
6266, -0.6890625, 29.08703
6397, -1.033594, 28.86717
6585, -1.624219, 28.52672
6718, -1.96875, 28.11987
6910, -2.510156, 27.60371
7105, -3.199219, 26.94642
7235, -3.54375, 26.22418
7364, -4.134375, 25.37512
7560, -5.167969, 24.31519
7691, -5.758594, 23.14055
7883, -6.250781, 21.87724
8077, -7.038281, 20.44957
8203, -7.530469, 18.92377
8332, -7.333593, 17.463
8530, -5.364843, 16.43853
8722, -5.660156, 15.30104
8849, -6.053906, 14.07557
8978, -6.989062, 12.64251
9165, -6.989062, 11.24326
9298, -7.579687, 9.706287
9483, -5.5125, 8.656486
9672, -5.758594, 7.500628
9793, -6.004687, 6.290042
9915, -6.250781, 5.02967
10099, -6.742969, 3.667969
10228, -7.185938, 2.213848
10412, -7.48125, 0.7091599
10602, -7.185938, -0.7209079
10728, -7.185938, -2.157676
10852, -6.496875, -3.430916
11041, -5.660156, -4.540537
11169, -6.250781, -5.811102
11352, -5.857031, -6.973049
11478, -6.3, -8.248903
11665, -6.644531, -9.587341
11795, -6.398438, -10.85866
11986, -6.053906, -12.06045
12179, -6.3, -13.32624
12307, -5.90625, -14.49356
12438, -6.496875, -15.81353
12629, -5.807813, -16.95869
12760, -4.577344, -17.82861
12954, -4.675781, -18.76442
13150, -4.478907, -19.6554
13271, -4.577344, -20.57438
13401, -4.478907, -21.46683
13591, -4.232813, -22.30704
13790, -4.085156, -23.12024
13915, -4.035937, -23.92538
14043, -3.986719, -24.72078
14234, -3.297656, -25.36291
14362, -3.199219, -25.99815
14552, -2.805469, -26.54906
14681, -2.805469, -27.10957
14874, -2.264062, -27.54882
15008, -2.067187, -27.95461
15204, -1.919531, -28.3346
15335, -1.624219, -28.64867
15527, -1.132031, -28.86234
15661, -0.6890625, -28.98372
15855, -0.3445313, -29.04345
15992, -0.04921875, -29.04261
16182, 0.4429688, -28.94115
16381, 0.984375, -28.7307
16514, 1.427344, -28.42864
16715, 2.067187, -27.99941
16845, 2.559375, -27.46865
16977, 3.15, -26.81647
17174, 4.085156, -25.97577
17371, 4.429688, -25.08055
17496, 5.020312, -24.05355
17623, 5.315625, -22.97813
17814, 5.5125, -21.87022
17948, 6.152344, -20.61675
18141, 5.807813, -19.46285
18268, 6.496875, -18.13858
18401, 6.546094, -16.82621
