"Run time, Error, Target angle"
"35421, 5.11875, -23.00236"
"35556, 6.742969, -21.59363"
"35746, 8.957813, -19.74371"
"35881, 10.38516, -17.61351"
"36080, 11.51719, -15.28068"
"36214, 12.30469, -12.79056"
"36409, 13.09219, -10.15158"
"36539, 12.79688, -7.601791"
"36729, 12.69844, -5.064976"
"36851, 13.3875, -2.361341"
"37037, 12.79688, 0.1838069"
"37158, 13.53516, 2.918585"
"37275, 13.43672, 5.603774"
"37463, 10.33594, 7.591349"
"37587, 12.15703, 10.08696"
"39640, 9.646875, 12.01633"
"39832, 7.235156, 13.46336"
"39961, 4.823438, 14.33936"
"40155, 1.673438, 14.59256"
"40278, -0.4921875, 14.40716"
"40463, -3.740625, 13.57081"
"40586, -5.414063, 12.41875"
"40775, -8.613281, 10.6125"
"40897, -10.58203, 8.41523"
"41085, -10.97578, 6.206675"
"41206, -10.87734, 4.034173"
"41391, -11.76328, 1.658682"
"41518, -12.40313, -0.8471818"
"41704, -11.86172, -3.206671"
"41829, -11.41875, -5.472993"
"42014, -10.48359, -7.544761"
"42133, -11.12344, -9.793083"
"42320, -9.499218, -11.65224"
"42445, -10.04062, -13.67829"
"42633, -8.465626, -15.33195"
"42760, -8.71172, -17.08114"
"42952, -9.203907, -18.9345"
"43079, -9.154688, -20.76436"
"43273, -7.333593, -22.18595"
"43402, -6.595312, -23.47544"
"43598, -5.463282, -24.53919"
"43721, -4.528125, -25.40707"
"43914, -3.642188, -26.11209"
"44039, -3.642188, -26.83912"
"44232, -2.805469, -27.37924"
"44362, -2.3625, -27.83447"
"44552, -2.214844, -28.27304"
"44682, -1.821094, -28.62273"
"44876, -1.821094, -28.98638"
"45009, -1.624219, -29.30421"
"45206, -1.132031, -29.51827"
"45337, -1.132031, -29.74398"
"45527, -0.8367188, -29.90384"
