"Run time, Error, Target angle"
"125, -11.76328, 22.64241"
"256, -8.71172, 12.18835"
"387, 3.051562, 16.27349"
"510, 12.00937, 31.05247"
"633, 7.136719, 39.45408"
"771, -5.561719, 32.33616"
"898, -12.45234, 17.10979"
"1034, -10.97578, 3.974458"
"1158, -2.707031, 1.041478"
"1279, 1.870313, 3.482794"
"1396, -0.590625, 2.688797"
"1514, -7.727344, -6.8727"
"1636, -11.96016, -21.40682"
"1758, -9.696095, -32.96616"
"1886, -0.04921875, -32.66863"
"2018, 5.11875, -26.32123"
"2149, 3.54375, -22.11399"
"2275, -1.771875, -24.44134"
"2405, -3.15, -28.28244"
"2535, -0.2953125, -28.53688"
"2663, 7.136719, -19.69364"
"2800, 11.56641, -5.645835"
"2936, 11.36953, 8.000076"
"3059, 7.875, 17.3168"
"3179, 1.476563, 18.83037"
"3304, -1.722656, 16.62741"
"3431, 2.116406, 19.30133"
"3557, 4.528125, 24.83307"
"3682, 5.414063, 31.36883"
"3816, 2.214844, 33.91536"
"3943, -2.165625, 31.14776"
"4072, -5.11875, 24.88849"
"4201, -6.742969, 16.73036"
"4333, -3.445313, 12.7092"
"4454, -1.230469, 11.3255"
"4579, -4.872656, 5.3469"
"4704, -8.810156, -5.381226"
"4823, -9.253124, -16.5122"
"4944, -4.675781, -21.94734"
"5072, 1.328906, -20.12153"
"5202, 1.328906, -18.51351"
"5330, -2.510156, -21.66715"
"5460, -5.758594, -28.70245"
"5593, -5.561719, -35.37658"
"5724, 1.575, -33.23163"
"5852, 9.00703, -22.13495"
"5984, 11.07422, -8.754994"
"6116, 6.841406, -0.690321"
"6235, 2.313281, 1.898195"
"6357, 1.328906, 3.443533"
"6479, 5.955469, 10.76508"
"6601, 9.499218, 22.31234"
"6726, 7.530469, 31.28373"
"6852, -0.4429688, 30.45069"
"6979, -4.183594, 25.27402"
"7107, -1.919531, 23.04469"
"7231, 3.15, 27.01977"
"7358, 3.642188, 31.42013"
"7490, -0.6890625, 30.44022"
"7624, -7.185938, 21.57968"
"7751, -11.22187, 7.948685"
"7878, -9.105469, -2.909183"
"8000, -1.821094, -4.81003"
"8117, 0.6890625, -3.86554"
"8235, -3.54375, -8.27992"
"8356, -8.71172, -18.94435"
"8480, -10.38516, -31.48263"
"8604, -3.297656, -35.17784"
"8736, 3.494531, -30.725"
"8873, 5.5125, -24.02673"
"9001, 1.624219, -22.21579"
"9135, -1.427344, -24.04383"
"9273, 1.279687, -22.42175"
"9410, 5.758594, -15.3522"
"9544, 11.27109, -1.623806"
"9673, 12.05859, 12.88706"
"9793, 8.71172, 23.21286"
"9914, -0.2953125, 22.50135"
"10043, -5.90625, 15.1866"
"10177, -2.165625, 12.70603"
"10304, 6.742969, 21.13461"
"10431, 8.219532, 31.07262"
"10557, 4.774219, 36.67659"
"10689, -2.067187, 33.94622"
"10820, -9.450001, 22.32627"
"10951, -9.794531, 10.5442"
"11083, -4.232813, 5.661888"
"11209, 1.525781, 7.717793"
"11333, -0.9351563, 6.515925"
"11457, -8.760937, -4.300831"
"11576, -12.94453, -20.01663"
"11697, -8.219532, -29.70812"
"11822, 0.6398437, -28.59685"
"11954, 4.183594, -23.42936"
"12081, 1.919531, -21.20112"
"12205, -3.002344, -24.99353"
"12330, -4.232813, -30.13052"
"12457, -0.4429688, -30.52405"
"12585, 6.201563, -22.83158"
"12715, 10.18828, -10.44553"
"12849, 9.745312, 1.242259"
"12974, 7.038281, 9.585228"
"13097, 4.183594, 14.49117"
