"Run time, Error, Target angle"
"125, -15.11016, 15.14257"
"248, -14.81484, -2.635244"
"377, -4.577344, -7.754311"
"493, 12.45234, 7.89941"
"609, 14.37188, 25.26973"
"732, 7.48125, 33.99362"
"864, -10.04062, 21.29987"
"987, -13.23984, 5.251938"
"1118, -4.626562, 0.0008182526"
"1236, 10.87734, 13.68807"
"1354, 13.87969, 30.50424"
"1482, 4.823438, 35.97107"
"1610, -7.579687, 26.39698"
"1736, -11.76328, 12.09783"
"1865, -2.953125, 8.867365"
"1990, 8.170313, 19.10554"
"2111, 10.18828, 31.43731"
"2235, 2.854688, 34.59348"
"2361, -5.069531, 28.19826"
"2489, -7.628906, 18.9312"
"2616, -1.230469, 17.68679"
"2745, 6.201563, 25.41348"
"2876, 4.823438, 31.16833"
"2999, 0.6890625, 31.83654"
"3125, -2.608594, 28.57372"
"3255, -2.313281, 25.80086"
"3379, -0.6398437, 25.09616"
"3503, 1.525781, 27.01296"
"3628, 1.722656, 29.09279"
"3758, 1.870313, 31.34324"
"3891, -0.1476563, 31.09482"
"4024, -1.279687, 29.51502"
"4149, -1.18125, 28.09857"
"4275, -1.18125, 26.68113"
"4400, 0.6890625, 27.57888"
"4522, 1.328906, 29.20252"
"4649, 1.279687, 30.73803"
"4778, 0.04921875, 30.75216"
"4911, -1.082813, 29.4101"
"5039, -1.279687, 27.86473"
"5165, -1.378125, 26.20673"
"5289, -1.033594, 24.97912"
"5417, -0.0, 25.01816"
"5542, 1.033594, 26.29968"
"5668, 0.6890625, 27.11622"
"5794, 0.1476563, 27.27258"
"5925, -0.4429688, 26.71842"
"6059, -1.279687, 25.15205"
"6187, -1.919531, 22.82347"
"6311, -2.3625, 19.97003"
"6440, 0.1476563, 20.23713"
"6564, 1.919531, 22.61313"
"6696, 0.984375, 23.76488"
"6823, -0.0, 23.72668"
"6955, -2.559375, 20.56248"
"7082, -3.199219, 16.69423"
"7211, -2.854688, 13.27957"
"7338, 1.132031, 14.78527"
"7466, 1.821094, 17.00454"
"7589, 0.9351563, 18.09472"
"7716, -1.624219, 16.04895"
"7845, -3.100781, 12.26849"
"7968, -3.691406, 7.812632"
"8091, -0.4921875, 7.342564"
"8211, 3.986719, 12.30772"
"8332, 2.953125, 15.82235"
"8452, -1.771875, 13.50966"
"8573, -6.349218, 5.701614"
"8696, -6.644531, -2.294582"
"8820, 1.230469, -0.5210013"
"8941, 6.939844, 8.046507"
"9061, 5.758594, 14.92557"
"9184, -3.445313, 10.44057"
"9302, -11.07422, -3.173487"
"9427, -7.825781, -12.46094"
"9547, 3.100781, -8.309963"
"9672, 9.499218, 3.357475"
"9794, 5.561719, 9.897512"
"9918, -6.398438, 1.758123"
"10036, -10.82813, -11.44225"
"10152, -6.644531, -19.2602"
"10274, 3.346875, -14.85303"
"10408, 10.43438, -2.060227"
"10528, 5.955469, 4.928208"
"10645, -5.315625, -1.911608"
"10762, -12.15703, -16.8056"
"10882, -7.678125, -25.86334"
"11006, 4.035937, -20.57036"
"11130, 9.400782, -9.059016"
"11253, 4.626562, -3.676716"
"11373, -6.053906, -11.36929"
"11492, -9.892969, -23.41748"
"11613, -4.872656, -29.08092"
"11737, 4.577344, -23.21895"
"11864, 7.136719, -14.53743"
"11993, 2.657813, -11.50475"
"12119, -4.577344, -17.27485"
"12241, -7.48125, -26.38206"
"12363, -3.592969, -30.55196"
"12496, 3.051562, -26.64811"
"12622, 5.266406, -20.23138"
"12755, 1.328906, -18.77184"
"12880, -3.54375, -23.21425"
"13006, -4.380468, -28.51364"
"13136, -2.264062, -31.15682"
"13262, 1.673438, -28.99734"
"13392, 3.297656, -24.97207"
"13521, 2.75625, -21.68026"
"13646, -1.919531, -24.16048"
"13772, -4.626562, -29.82389"
"13901, -3.396094, -33.86076"
"14027, 1.328906, -32.08743"
"14160, 4.971094, -25.98184"
