Run time, Error, Target angle
33976, -4.577344, 25.17833
34100, -5.5125, 24.03837
34290, -6.989062, 22.60196
34416, -8.071875, 20.94455
34604, -8.957813, 19.12876
34736, -8.564062, 17.42873
34931, -8.613281, 15.70536
35056, -8.170313, 14.08792
35245, -9.05625, 12.25473
35373, -9.84375, 10.25596
35562, -9.646875, 8.330389
35690, -9.302343, 6.482813
35880, -8.219532, 4.866775
36003, -9.253124, 2.97838
36189, -9.105469, 1.159543
36315, -9.745312, -0.8132673
36499, -9.105469, -2.61868
36622, -9.00703, -4.415374
36807, -7.678125, -5.916549
36929, -8.317968, -7.60265
37055, -8.170313, -9.232538
37245, -7.235156, -10.65578
37373, -7.48125, -12.15975
37563, -7.038281, -13.55658
37688, -6.939844, -14.9402
37874, -7.825781, -16.52801
37999, -8.071875, -18.15308
38191, -6.742969, -19.46887
38320, -5.955469, -20.62953
38512, -6.103125, -21.85265
38635, -6.201563, -23.09684
38826, -5.167969, -24.10448
38950, -4.774219, -25.04296
39148, -3.691406, -25.75433
39277, -3.54375, -26.45612
39473, -2.805469, -26.99875
39599, -2.559375, -27.50035
39787, -1.624219, -27.80091
39912, -1.279687, -28.04255
40102, -0.2460938, -28.06495
40228, 0.196875, -28.00745
40413, 1.082813, -27.76718
40537, 1.722656, -27.39717
40727, 2.75625, -26.81879
40858, 3.396094, -26.11481
41051, 4.774219, -25.1247
41182, 5.217188, -24.06343
41371, 6.152344, -22.80851
41497, 7.136719, -21.34297
41690, 7.382813, -19.85873
41819, 8.121094, -18.20731
41950, 8.71172, -16.44199
42148, 9.00703, -14.63253
42279, 9.991405, -12.59862
42468, 9.991405, -10.5989
42590, 9.548437, -8.706034
42785, 8.908594, -6.940819
42917, 9.597656, -4.997777
43106, 9.351563, -3.132762
43234, 9.302343, -1.274413
43421, 9.892969, 0.7192415
43545, 9.892969, 2.698744
43734, 8.121094, 4.277789
43860, 8.071875, 5.887643
43984, 7.875, 7.45491
44174, 7.628906, 8.974165
44297, 7.825781, 10.54639
44489, 7.0875, 11.94571
44611, 7.530469, 13.46785
44803, 6.3, 14.69788
44927, 9.105469, 16.62346
45120, 7.727344, 18.13863
45246, 7.825781, 19.70565
45443, 6.496875, 20.97252
45572, 6.496875, 22.27
45766, 5.266406, 23.29274
45893, 4.282031, 24.11116
46089, 3.592969, 24.81138
46219, 3.494531, 25.50566
46411, 3.297656, 26.16008
46542, 3.248437, 26.80769
46728, 2.067187, 27.19059
46852, 1.919531, 27.56712
47043, 1.378125, 27.82884
47169, 0.8859375, 27.98684
47361, 0.0984375, 27.98596
47481, -0.4921875, 27.86336
47674, -1.18125, 27.60892
47803, -1.624219, 27.26697
47993, -2.608594, 26.71957
48118, -3.396094, 26.0092
48307, -4.626562, 25.05155
48437, -5.660156, 23.87991
48628, -7.185938, 22.40279
48752, -8.416407, 20.67085
48942, -9.253124, 18.79713
49075, -9.646875, 16.85238
49263, -7.382813, 15.43267
49391, -8.317968, 13.73778
49580, -9.450001, 11.81793
49704, -10.13906, 9.761997
49888, -8.957813, 8.000037
50018, -9.05625, 6.186927
50208, -8.219532, 4.56408
50334, -9.302343, 2.664446
50519, -10.04062, 0.6355751
50646, -10.18828, -1.408775
50834, -8.317968, -3.024919
50958, -8.170313, -4.650525
51143, -8.121094, -6.27312
51267, -8.514843, -7.99091
51454, -8.022655, -9.583485
51580, -7.678125, -11.10544
51773, -7.776563, -12.66266
51900, -7.678125, -14.19475
52089, -6.69375, -15.50849
52210, -8.367188, -17.24527
52405, -6.644531, -18.53403
52531, -6.989062, -19.94231
52724, -5.660156, -21.04185
52848, -6.103125, -22.27731
53039, -5.610937, -23.38766
53166, -5.5125, -24.48581
53359, -4.528125, -25.36677
53491, -4.085156, -26.16658
53682, -3.051562, -26.75036
