Run time, Error, Target angle
130, -15.11016, 28.45172
253, -14.42109, 25.5675
380, -12.64922, 23.10429
507, -10.2375, 21.15007
631, -8.071875, 19.62271
759, -5.11875, 18.71266
893, -1.919531, 18.44781
1022, 1.328906, 18.84003
1150, 2.854688, 19.47401
1277, 3.9375, 20.30568
1408, 4.774219, 21.29292
1542, 5.807813, 22.49244
1676, 5.660156, 23.62137
1805, 5.020312, 24.6019
1933, 4.478907, 25.47623
2066, 4.380468, 26.34759
2192, 4.577344, 27.26997
2326, 4.33125, 28.12788
2458, 3.789844, 28.86617
2587, 3.494531, 29.55298
2714, 2.75625, 30.07616
2840, 1.821094, 30.40435
2971, 0.8367188, 30.53394
3101, 0.196875, 30.54776
3227, -0.5414063, 30.41062
3360, -1.378125, 30.10346
3488, -2.165625, 29.63953
3616, -3.051562, 28.99483
3746, -4.085156, 28.13892
3874, -5.561719, 26.96915
4008, -6.989062, 25.51822
4142, -8.810156, 23.68954
4274, -9.597656, 21.73786
4404, -10.58203, 19.58364
4542, -11.025, 17.36153
4731, -11.46797, 15.056
4923, -11.51719, 12.75085
5054, -12.35391, 10.24987
5188, -12.69844, 7.696447
5378, -11.8125, 5.355883
5504, -11.86172, 2.983005
5693, -12.15703, 0.5440803
5819, -12.84609, -2.051305
6006, -12.20625, -4.477134
6197, -11.07422, -6.663057
6323, -10.97578, -8.852821
6452, -11.07422, -11.07095
6644, -9.450001, -12.92046
6834, -9.105469, -14.73123
6962, -8.908594, -16.50516
7089, -9.400782, -18.40322
7279, -7.333593, -19.81871
7406, -6.349218, -21.04906
7600, -5.364843, -22.09597
7729, -4.33125, -22.92326
7925, -2.75625, -23.43438
8052, -1.96875, -23.79659
8246, 0.2460938, -23.69101
8374, 1.230469, -23.40542
8571, 2.953125, -22.77123
8699, 4.282031, -21.86341
8889, 6.250781, -20.56145
9021, 7.185938, -19.08791
9215, 9.05625, -17.22916
9347, 10.72969, -15.02029
9483, 11.12344, -12.77857
9678, 11.56641, -10.45365
9810, 11.12344, -8.244015
10000, 11.41875, -5.953376
10128, 12.15703, -3.494616
10317, 12.55078, -0.9733589
10439, 12.6, 1.549235
10627, 11.71406, 3.869547
10750, 12.10781, 6.304776
10938, 10.87734, 8.44956
11063, 11.32031, 10.72845
11182, 11.61563, 13.06413
11373, 11.12344, 15.27689
11499, 8.6625, 16.91613
11816, 9.597656, 18.84773
12122, 8.810156, 20.59756
12253, 8.957813, 22.39374
12447, 7.924219, 23.95305
12581, 5.266406, 24.91129
12769, 4.577344, 25.80543
12898, 4.282031, 26.64981
13090, 2.608594, 27.12899
13223, 2.067187, 27.52083
13419, 0.196875, 27.51373
13552, -0.6890625, 27.34163
13748, -2.214844, 26.85992
13879, -3.789844, 26.04306
14078, -6.595312, 24.65396
14207, -8.6625, 22.84249
14399, -10.48359, 20.69685
14531, -11.41875, 18.37717
14661, -12.10781, 15.92856
14852, -11.07422, 13.73874
14979, -12.00937, 11.30393
15170, -12.30469, 8.834213
15296, -12.30469, 6.372754
15481, -11.86172, 4.011868
15607, -12.55078, 1.476672
15792, -12.50156, -1.023399
15921, -12.89531, -3.616928
16109, -10.87734, -5.741494
16230, -10.87734, -7.913846
16419, -10.48359, -10.00044
16545, -10.77891, -12.16665
16737, -9.154688, -13.95718
16866, -9.05625, -15.76249
