"Run time, Error, Target angle"
"140, -15.15937, 18.62616"
"268, -14.51953, 1.202717"
"399, -2.805469, -1.742348"
"512, 12.45234, 13.8589"
"631, 14.47031, 31.34308"
"756, 4.675781, 36.59012"
"886, -8.121094, 26.36002"
"1012, -11.22187, 12.7503"
"1140, -1.132031, 11.75453"
"1265, 9.450001, 23.51737"
"1393, 8.121094, 33.23856"
"1527, -0.8859375, 31.85683"
"1653, -5.069531, 25.59961"
"1782, -4.33125, 20.41909"
"1907, 2.460938, 23.62866"
"2038, 5.857031, 30.793"
"2169, 4.282031, 35.88255"
"2294, -1.033594, 34.43941"
"2425, -5.561719, 27.59081"
"2556, -5.709375, 20.72425"
"2681, 2.214844, 23.67914"
"2806, 4.577344, 29.27938"
"2937, 2.854688, 32.64918"
"3061, -0.7382813, 31.62373"
"3189, -4.429688, 26.16418"
"3318, -5.266406, 19.80559"
"3445, -1.18125, 18.53714"
"3573, 1.821094, 20.84072"
"3704, 1.96875, 23.2154"
"3833, 0.3445313, 23.57067"
"3960, -4.183594, 18.37917"
"4093, -5.5125, 11.70696"
"4221, -1.870313, 9.593181"
"4344, 0.7875, 10.64759"
"4465, 2.017969, 13.12362"
"4591, 0.2953125, 13.41738"
"4714, -4.725, 7.552019"
"4838, -6.349218, -0.1409278"
"4959, -1.673438, -1.973681"
"5078, 1.378125, -0.1877171"
"5195, 2.067187, 2.328899"
"5314, -0.39375, 1.762476"
"5430, -5.315625, -4.822498"
"5546, -7.038281, -13.35116"
"5664, -0.6890625, -13.93317"
"5782, 3.642188, -9.37514"
"5902, 2.264062, -6.700461"
"6021, -2.75625, -10.20991"
"6142, -5.414063, -16.8223"
"6264, -4.577344, -22.28999"
"6388, 0.2953125, -21.75087"
"6513, 3.002344, -18.03435"
"6640, 1.821094, -15.88609"
"6764, -2.3625, -18.88064"
"6887, -4.478907, -24.34583"
"7019, -4.380468, -29.60402"
"7144, -0.0, -29.43814"
"7276, 2.559375, -26.26674"
"7400, 2.067187, -23.79882"
"7525, -0.8859375, -24.97376"
"7655, -2.165625, -27.62496"
"7780, -2.264062, -30.34867"
"7912, -0.2953125, -30.6331"
"8040, 1.427344, -28.85234"
"8171, 1.870313, -26.58814"
"8301, 2.165625, -23.97763"
"8427, -0.1476563, -24.2411"
"8561, -0.6398437, -25.03109"
"8689, 0.1476563, -24.82624"
"8815, 1.033594, -23.55121"
"8945, 1.821094, -21.33558"
"9071, 2.953125, -17.74777"
"9205, 1.771875, -15.66094"
"9330, 0.4429688, -15.18171"
"9455, 0.3445313, -14.77505"
"9589, 1.525781, -12.9026"
"9722, 2.953125, -9.306247"
"9845, 2.707031, -6.064009"
"9964, 0.5414063, -5.500679"
"10087, 0.2953125, -5.160837"
"10211, 2.165625, -2.492095"
"10332, 3.346875, 1.574666"
"10449, 3.396094, 5.655165"
"10563, 0.590625, 6.250168"
"10686, -1.771875, 4.026805"
"10806, 0.2953125, 4.455916"
"10924, 2.313281, 7.317359"
"11048, 4.035937, 12.23091"
"11171, 4.626562, 17.80941"
"11296, 2.3625, 20.56087"
"11419, -2.75625, 17.05131"
"11543, -2.214844, 14.40183"
"11671, 0.4921875, 15.09249"
"11797, 3.789844, 19.76933"
"11925, 4.478907, 25.17668"
"12053, 1.575, 26.96179"
"12189, -3.592969, 22.46364"
"12317, -3.297656, 18.50639"
"12451, -0.6890625, 17.77204"
"12581, 4.429688, 23.27715"
"12711, 6.004687, 30.55079"
"12846, 0.04921875, 30.4039"
"12978, -1.919531, 28.01842"
"13108, -1.575, 26.13612"
"13240, 0.590625, 26.92323"
"13363, 2.116406, 29.52594"
"13488, 2.116406, 32.0694"
"13619, -0.2953125, 31.62846"
"13746, -1.476563, 29.80808"
"13879, -1.771875, 27.66861"
"14008, -1.870313, 25.41988"
"14141, 0.04921875, 25.54727"
"14268, 0.2953125, 25.91469"
"14401, -0.4921875, 25.29667"
"14534, -1.328906, 23.67098"
"14663, -2.264062, 20.9179"
"14790, -2.165625, 18.32065"
"14918, -0.8367188, 17.36554"
"15048, 0.9351563, 18.55526"
"15174, -0.4429688, 17.97627"
"15303, -2.067187, 15.43405"
"15430, -3.54375, 11.12321"
"15558, -3.986719, 6.319443"
"15681, -1.18125, 5.008674"
"15805, 1.821094, 7.31328"
"15927, 0.2953125, 7.615859"
"16047, -1.919531, 5.22335"
"16171, -4.33125, -0.07164335"
"16297, -5.561719, -6.797426"
"16412, -0.8367188, -7.61422"
"16530, 2.657813, -4.274295"
"16648, 1.132031, -2.967322"
"16768, -2.411719, -6.003058"
"16884, -4.577344, -11.59232"
"17002, -4.971094, -17.57919"
"17125, -0.39375, -17.87823"
"17255, 3.494531, -13.53276"
"17384, 1.919531, -11.27799"
"17502, -2.854688, -14.89469"
"17627, -6.496875, -22.84047"
"17748, -4.232813, -27.84129"
"17875, 1.722656, -25.55049"
"18001, 3.54375, -21.21612"
"18124, 0.7382813, -20.43232"
"18250, -2.510156, -23.57182"
"18374, -3.494531, -27.8099"
"18506, -3.199219, -31.64089"
"18630, 0.7382813, -30.6064"
"18765, 2.707031, -27.28029"
"18897, 2.559375, -24.20989"
"19024, -0.196875, -24.54907"
"19150, -2.559375, -27.71392"
"19277, -2.3625, -30.54713"
"19402, 0.2460938, -30.15434"
"19528, 2.214844, -27.41726"
"19663, 2.707031, -24.14704"
"19791, 2.608594, -21.01905"
"19917, 0.3445313, -20.69026"
"20047, -1.279687, -22.28963"
"20181, -0.2460938, -22.55212"
"20312, 0.9351563, -21.38554"
"20445, 2.411719, -18.43621"
"20573, 3.9375, -13.65229"
"20709, 3.740625, -9.167149"
"20829, 1.96875, -6.87357"
"20950, -0.984375, -8.173573"
"21069, -1.082813, -9.484269"
"21191, 0.8367188, -8.40648"
"21314, 3.346875, -4.289911"
"21432, 5.463282, 2.356378"
"21548, 3.740625, 6.781952"
"21671, -0.3445313, 6.207474"
"21793, -1.919531, 3.833578"
"21913, -0.3445313, 3.47686"
"22031, 2.264062, 6.300868"
"22148, 4.232813, 11.46584"
"22271, 5.610937, 18.25679"
"22395, 2.608594, 21.27682"
"22520, -3.051562, 17.39549"
"22646, -3.642188, 12.98952"
"22772, 0.4429688, 13.67146"
"22901, 4.282031, 18.95879"
"23029, 4.971094, 24.95816"
"23156, 2.510156, 27.88118"
"23292, -3.346875, 23.65801"
"23427, -4.085156, 18.71848"
"23557, -1.525781, 16.97882"
"23683, 4.528125, 22.64395"
"23810, 6.496875, 30.52678"
"23941, 1.230469, 31.81881"
"24070, -1.378125, 30.0591"
"24202, -1.575, 28.15604"
"24333, -1.328906, 26.56941"
"24460, 0.6890625, 27.47208"
"24586, 1.230469, 28.97335"
"24713, 1.132031, 30.3296"
"24840, 0.04921875, 30.34842"
"24965, -0.6890625, 29.49159"
"25090, -0.984375, 28.29745"
"25222, -1.525781, 26.44629"
"25352, -2.116406, 23.88419"
"25479, -1.476563, 22.1347"
"25606, -0.5414063, 21.52098"
"25736, 0.04921875, 21.60369"
"25865, -1.082813, 20.26437"
"25990, -2.214844, 17.56193"
"26122, -1.96875, 15.20568"
"26251, 0.0984375, 15.39964"
"26379, -0.3445313, 14.97426"
"26507, -1.919531, 12.6122"
"26633, -3.445313, 8.417842"
"26760, -3.9375, 3.670907"
"26878, 1.082813, 5.168182"
"26997, 1.575, 7.089971"
"27116, 0.0984375, 7.152375"
"27241, -3.494531, 2.819437"
"27360, -5.11875, -3.395774"
"27478, -2.903906, -6.797136"
"27597, 1.082813, -5.335528"
"27714, 1.033594, -4.086854"
"27830, -0.984375, -5.348318"
"27950, -3.494531, -9.644829"
"28069, -5.020312, -15.73628"
"28191, -0.8367188, -16.58469"
"28319, 2.657813, -13.25769"
"28440, 1.132031, -11.94992"
"28563, -2.067187, -14.55673"
"28681, -4.478907, -20.03431"
"28807, -5.463282, -26.63342"
"28934, 0.4429688, -25.88559"
"29061, 2.953125, -22.23609"
"29186, 2.067187, -19.78225"
"29311, -2.067187, -22.42114"
"29437, -3.494531, -26.6768"
"29565, -3.199219, -30.50864"
"29689, -1.082813, -31.72677"
"29813, 1.96875, -29.24465"
"29941, 2.707031, -25.96181"
"30072, 2.067187, -23.50209"
"30197, -1.575, -25.53031"
"30323, -2.460938, -28.52471"
"30456, -2.165625, -31.11526"
"30582, 1.279687, -29.45055"
"30717, 3.642188, -24.99073"
"30848, 4.380468, -19.70227"
"30973, 0.0984375, -19.74207"
"31109, -2.313281, -22.61115"
"31236, -1.132031, -23.93132"
"31368, 0.8859375, -22.79445"
"31499, 2.903906, -19.23238"
"31627, 4.380468, -13.91741"
"31758, 3.100781, -10.23948"
"31883, 1.279687, -8.774387"
"32004, -0.7875, -9.80455"
"32126, 0.2953125, -9.414008"
"32245, 1.821094, -7.166338"
"32365, 3.691406, -2.659689"
"32483, 3.740625, 1.835876"
"32602, 1.771875, 3.884406"
"32725, -0.196875, 3.568266"
"32842, -1.230469, 2.045627"
"32963, 0.6398437, 2.883657"
"33080, 2.3625, 5.791475"
"33199, 4.232813, 10.9497"
"33322, 4.134375, 15.91198"
"33443, 2.903906, 19.34902"
"33570, -2.116406, 16.62192"
"33695, -2.3625, 13.76629"
"33824, -0.5414063, 13.18189"
"33950, 3.248437, 17.22535"
"34080, 4.429688, 22.5918"
"34210, 3.297656, 26.51061"
"34344, -0.6398437, 25.60196"
"34473, -2.559375, 22.45245"
"34600, -1.624219, 20.5332"
"34734, 1.18125, 22.0519"
"34859, 3.9375, 26.88661"
"34987, 4.528125, 32.3483"
"35115, 0.2953125, 32.54864"
"35247, -3.297656, 28.45434"
"35377, -2.953125, 24.91516"
"35505, 0.7875, 25.99902"
"35628, 3.248437, 29.99876"
"35761, 3.199219, 33.84182"
"35892, -0.39375, 33.23933"
"36020, -3.691406, 28.68076"
"36152, -4.035937, 23.818"
"36285, -0.04921875, 23.89924"
"36408, 2.559375, 27.07779"
"36535, 1.870313, 29.30297"
"36662, -1.132031, 27.83133"
"36791, -3.100781, 24.03194"
"36917, -4.085156, 19.08865"
"37045, -2.116406, 16.61896"
"37172, -0.0, 16.70212"
"37296, 1.525781, 18.59588"
"37420, -0.0, 18.54226"
"37548, -2.116406, 15.9216"
"37673, -3.740625, 11.36643"
"37796, -4.774219, 5.594196"
"37919, -2.608594, 2.54456"
"38040, 2.411719, 5.638251"
"38163, 2.017969, 8.056911"
"38280, -1.033594, 6.694309"
"38397, -3.789844, 2.029359"
"38521, -5.610937, -4.780413"
"38643, -2.313281, -7.43417"
"38760, 1.279687, -5.746996"
"38878, 0.9351563, -4.628911"
"38995, -1.328906, -6.314453"
"39112, -3.789844, -10.96569"
"39228, -5.414063, -17.53473"
"39348, -0.590625, -18.05948"
"39475, 3.494531, -13.70264"
"39602, 2.067187, -11.26526"
"39720, -3.051562, -15.13144"
"39846, -6.250781, -22.76491"
"39968, -4.429688, -28.01859"
"40091, 1.821094, -25.59085"
"40217, 3.642188, -21.13847"
"40344, 0.7875, -20.29516"
"40478, -2.805469, -23.79305"
"40602, -3.54375, -28.08144"
"40730, -2.953125, -31.60543"
"40856, 0.4921875, -30.88503"
"40982, 2.707031, -27.54689"
"41111, 2.510156, -24.53669"
"41237, -0.3445313, -25.0568"
"41364, -2.116406, -27.66789"
"41488, -1.919531, -29.96815"
"41621, -0.6398437, -30.69039"
"41745, 1.575, -28.71437"
"41878, 3.051562, -24.99526"
"42006, 3.839063, -20.35608"
"42133, 0.3445313, -20.07115"
"42259, -1.673438, -22.16224"
"42385, -0.590625, -22.8355"
"42513, 0.6890625, -21.95948"
"42644, 1.870313, -19.66979"
"42780, 3.494531, -15.41743"
"42910, 4.528125, -9.943117"
"43043, 2.903906, -6.514148"
"43163, -1.279687, -8.21542"
"43284, -0.984375, -9.395442"
"43409, 0.590625, -8.627389"
"43532, 3.002344, -4.928157"
"43654, 5.217188, 1.422891"
"43771, 3.888281, 6.041031"
"43892, 0.590625, 6.618973"
"44012, -2.017969, 4.087344"
"44134, -0.4429688, 3.609227"
"44256, 2.165625, 6.311613"
"44374, 4.134375, 11.35756"
"44495, 5.463282, 17.97025"
"44617, 2.460938, 20.81134"
"44747, -3.002344, 17.00257"
"44877, -2.805469, 13.63126"
"45001, 1.18125, 15.1984"
"45126, 3.839063, 19.915"
"45258, 4.478907, 25.31858"
"45391, 1.575, 27.10649"
"45525, -3.494531, 22.73006"
"45657, -3.346875, 18.70864"
"45785, -0.8367188, 17.79592"
"45910, 4.478907, 23.37753"
"46034, 6.004687, 30.65291"
"46162, 0.1476563, 30.61879"
"46294, -4.823438, 24.63969"
"46417, -1.624219, 22.80033"
"46549, 2.854688, 26.3934"
"46673, 3.888281, 31.10823"
"46807, 1.722656, 33.10136"
"46932, -1.230469, 31.51017"
"47063, -2.3625, 28.62753"
"47196, -2.411719, 25.72906"
"47325, 0.04921875, 25.87837"
"47452, 0.7382813, 26.79493"
"47579, 0.1476563, 26.95189"
"47703, -0.6398437, 26.15326"
"47829, -1.378125, 24.47012"
"47965, -2.3625, 21.59905"
"48095, -1.919531, 19.30959"
"48220, -1.18125, 17.92048"
"48348, -1.18125, 16.50464"
"48475, -0.6398437, 15.75713"
"48597, -1.082813, 14.44196"
"48723, -2.608594, 11.25418"
"48848, -2.903906, 7.754952"
"48973, -1.427344, 6.096797"
"49093, 1.624219, 8.1685"
"49210, 0.2460938, 8.416479"
"49332, -1.870313, 6.087125"
"49451, -3.494531, 1.824935"
"49572, -5.069531, -4.324322"
"49693, -2.559375, -7.303026"
"49809, 2.116406, -4.568793"
"49929, 1.033594, -3.358693"
"50045, -0.9351563, -4.562232"
"50161, -3.691406, -9.10832"
"50282, -5.217188, -15.43581"
"50401, -1.328906, -16.88272"
"50526, 2.411719, -13.83801"
"50650, 1.821094, -11.66589"
"50776, -1.476563, -13.56256"
"50894, -5.561719, -20.40533"
"51014, -6.103125, -27.76098"
"51141, 1.033594, -26.25814"
"51266, 3.9375, -21.40823"
"51393, 2.707031, -18.19801"
"51520, -2.067187, -20.85777"
"51654, -4.971094, -26.9354"
"51787, -4.971094, -32.90701"
"51915, 0.3445313, -32.29845"
"52041, 3.986719, -27.36575"
"52175, 3.740625, -22.87733"
"52303, -0.590625, -23.74539"
"52432, -3.54375, -28.11411"
"52560, -3.54375, -32.37346"
"52689, 0.4429688, -31.6978"
"52823, 3.740625, -27.08483"
"52951, 3.740625, -22.5888"
"53079, -1.132031, -24.12601"
"53205, -3.592969, -28.54082"
"53330, -3.445313, -32.67582"
"53454, 0.7875, -31.57047"
"53583, 3.248437, -27.57319"
"53709, 3.248437, -23.66917"
"53836, -1.082813, -25.12986"
"53962, -2.707031, -28.44851"
"54089, -2.707031, -31.70105"
"54217, 0.590625, -30.87127"
"54340, 2.559375, -27.71686"
"54466, 2.559375, -24.64071"
"54593, -0.590625, -25.46674"
"54725, -2.264062, -28.25007"
