"Run time, Error, Target angle"
"186, -14.37188, 23.76308"
"307, -13.28906, 21.10527"
"497, -10.82813, 19.0018"
"623, -8.022655, 17.50488"
"816, -2.067187, 17.24388"
"947, 0.8367188, 17.52526"
"1135, 3.740625, 18.35171"
"1266, 4.872656, 19.37179"
"1455, 6.103125, 20.62532"
"1582, 6.398438, 21.91789"
"1777, 6.201563, 23.15386"
"1903, 5.758594, 24.28879"
"2098, 3.9375, 25.03076"
"2228, 4.134375, 25.86215"
"2419, 2.854688, 26.40095"
"2548, 1.96875, 26.76048"
"2734, 0.2460938, 26.76389"
"2858, -0.7875, 26.56478"
"3055, -2.3625, 26.05224"
"3181, -4.282031, 25.12181"
"3369, -6.939844, 23.66302"
"3503, -9.302343, 21.71537"
"3687, -10.92656, 19.48389"
"3817, -11.91094, 17.06337"
"4011, -11.27109, 14.82341"
"4134, -12.05859, 12.38226"
"4317, -13.33828, 9.679873"
"4444, -13.92891, 6.870338"
"4632, -13.58438, 4.16133"
"4754, -13.63359, 1.43321"
"4940, -13.73203, -1.315792"
"5066, -14.42109, -4.226079"
"5252, -12.94453, -6.77799"
"5373, -12.30469, -9.211837"
"5558, -10.72969, -11.31585"
"5682, -10.63125, -13.43584"
"5867, -9.154688, -15.22826"
"5995, -9.351563, -17.10355"
"6188, -9.203907, -18.94086"
"6318, -8.957813, -20.7233"
"6507, -5.90625, -21.82672"
"6633, -5.266406, -22.8517"
"6829, -3.248437, -23.45057"
"7023, -0.7382813, -23.53407"
"7147, 0.9351563, -23.28027"
"7273, 2.116406, -22.80857"
"7464, 4.823438, -21.77427"
"7596, 6.742969, -20.35262"
"7787, 9.203907, -18.44707"
"7916, 10.87734, -16.20721"
"8116, 11.96016, -13.78655"
"8242, 12.79688, -11.19448"
"8433, 13.53516, -8.467591"
"8561, 13.04297, -5.876061"
"8751, 13.53516, -3.157344"
"8875, 14.37188, -0.2503123"
"9060, 13.3875, 2.403152"
"9181, 14.42109, 5.326263"
"9363, 13.58438, 8.022744"
"11371, 10.48359, 10.11946"
"11493, 9.253124, 11.97009"
"11686, 6.053906, 13.10087"
"11814, 3.740625, 13.75924"
"12001, -0.2460938, 13.60465"
"12128, -3.002344, 12.89505"
"12317, -6.398438, 11.52519"
"12437, -8.613281, 9.709659"
"12626, -10.63125, 7.528705"
"12749, -11.96016, 5.082612"
"12935, -12.25547, 2.621687"
"13055, -12.94453, 0.005244493"
"13239, -12.79688, -2.551426"
"13362, -12.84609, -5.122373"
"13545, -11.12344, -7.302261"
"13667, -11.71406, -9.665054"
"13849, -10.08984, -11.64111"
"13975, -10.28672, -13.70335"
"14164, -8.957813, -15.46137"
"14293, -8.6625, -17.18114"
"14490, -6.398438, -18.40537"
"14618, -8.957813, -20.28782"
"14810, -6.398438, -21.50682"
"14935, -5.561719, -22.58406"
"15128, -3.888281, -23.3187"
"15257, -2.214844, -23.69853"
"15449, -0.0984375, -23.66251"
"15578, 1.919531, -23.20225"
"15773, 4.33125, -22.27359"
"15907, 6.250781, -20.95233"
"16099, 9.499218, -18.96801"
"16226, 10.77891, -16.75983"
"16419, 11.86172, -14.35862"
"16550, 12.79688, -11.76394"
"16736, 13.19062, -9.114155"
"16859, 12.79688, -6.568996"
"17046, 13.19062, -3.921353"
"17169, 14.22422, -1.036469"
"17353, 13.68281, 1.687587"
"17471, 14.86406, 4.706137"
"17657, 11.51719, 6.924735"
"17775, 12.6, 9.482062"
"19732, 8.908594, 11.26378"
"19862, 7.924219, 12.84863"
"20055, 5.11875, 13.80292"
"20183, 2.854688, 14.28653"
"20372, -1.722656, 13.82166"
"20495, -4.577344, 12.79076"
"20614, -6.939844, 11.30172"
"20800, -9.548437, 9.320641"
"20922, -10.72969, 7.125264"
"21112, -11.41875, 4.822023"
"21237, -12.15703, 2.361687"
"21421, -12.6, -0.171051"
"21542, -13.23984, -2.844417"
"21728, -12.99375, -5.437865"
"21852, -11.8125, -7.755287"
"22035, -10.87734, -9.904391"
"22159, -10.87734, -12.07826"
"22347, -9.646875, -13.97633"
"22477, -9.646875, -15.90389"
"22665, -7.678125, -17.38921"
"22792, -9.646875, -19.38804"
"22980, -7.48125, -20.83185"
"23111, -7.038281, -22.22057"
"23302, -4.823438, -23.12883"
"23428, -4.085156, -23.91496"
"23621, -1.722656, -24.19918"
"23754, -0.04921875, -24.1467"
"23946, 2.608594, -23.55605"
"24073, 4.33125, -22.6214"
"24262, 6.69375, -21.21991"
"24389, 8.810156, -19.37577"
"24581, 10.87734, -17.14562"
"24709, 11.8125, -14.74525"
"24900, 12.79688, -12.15962"
"25030, 13.28906, -9.482594"
"25219, 12.74766, -6.946097"
"25344, 13.58438, -4.198537"
"25532, 13.92891, -1.40277"
"25660, 14.37188, 1.488606"
"25841, 14.86406, 4.475086"
"26137, 12.94453, 7.032671"
"27998, 11.22187, 9.277046"
"28125, 10.18828, 11.3147"
"28315, 7.382813, 12.72041"
"28444, 4.971094, 13.62313"
"28638, 0.7875, 13.67345"
"28763, -2.165625, 13.12285"
"28952, -5.857031, 11.85299"
"29078, -8.268749, 10.10265"
"29264, -11.17266, 7.789298"
"29386, -11.61563, 5.44447"
"29570, -12.00937, 3.03144"
"29692, -12.94453, 0.405587"
"29878, -12.79688, -2.151498"
"29997, -13.23984, -4.816633"
"30181, -10.72969, -6.897561"
"30305, -11.41875, -9.203333"
"30493, -10.53281, -11.28818"
"30618, -10.58203, -13.40515"
"30803, -9.302343, -15.23248"
"30931, -9.450001, -17.12594"
"31127, -6.644531, -18.38587"
"31257, -9.05625, -20.27995"
"31448, -7.432032, -21.72866"
"31576, -6.053906, -22.88694"
"31766, -4.085156, -23.65213"
"31897, -2.264062, -24.03645"
"32087, 0.04921875, -23.96511"
"32214, 1.771875, -23.54329"
"32405, 4.282031, -22.62143"
"32533, 6.201563, -21.3067"
"32720, 8.760937, -19.48583"
"32854, 10.18828, -17.39367"
"33044, 11.86172, -14.97709"
"33169, 12.50156, -12.45007"
"33356, 12.74766, -9.893097"
"33483, 13.14141, -7.249899"
"33674, 12.99375, -4.654263"
"33796, 13.92891, -1.832416"
"33984, 13.68281, 0.8993316"
"34110, 14.47031, 3.822286"
"34297, 12.6, 6.295499"
"34415, 13.48594, 9.024899"
"36361, 10.38516, 11.10193"
"36486, 9.302343, 12.9624"
"36679, 5.561719, 13.98167"
"36810, 2.657813, 14.4042"
"36998, -0.7875, 14.15389"
"37121, -3.592969, 13.32254"
"37309, -7.038281, 11.82287"
"37432, -9.597656, 9.799232"
"37624, -10.53281, 7.665143"
"37744, -11.91094, 5.227823"
