"Run time, Error, Target angle"
"129, -10.82813, 23.70598"
"259, -6.939844, 15.37817"
"387, 3.642188, 20.13512"
"514, 9.597656, 31.89573"
"646, 3.002344, 35.27676"
"776, -11.46797, 20.97796"
"901, -15.40547, 2.311172"
"1025, -14.56875, -15.15049"
"1149, -9.00703, -25.74532"
"1275, 0.8367188, -24.36115"
"1400, 2.953125, -20.71506"
"1526, -1.378125, -22.52324"
"1655, -4.872656, -28.50798"
"1778, -3.346875, -32.47433"
"1911, 5.020312, -26.15246"
"2047, 12.20625, -11.23893"
"2182, 13.68281, 5.247368"
"2303, 12.25547, 19.90272"
"2423, 6.989062, 28.08062"
"2549, 0.1476563, 27.99004"
"2682, -2.3625, 25.05088"
"2816, 0.8367188, 26.16179"
"2945, 2.411719, 29.11956"
"3072, 0.39375, 29.52157"
"3196, -5.414063, 22.80038"
"3325, -10.04062, 10.56969"
"3451, -13.14141, -5.326539"
"3571, -10.92656, -18.35912"
"3689, -4.774219, -23.84091"
"3813, 1.771875, -21.45171"
"3943, 0.1476563, -21.31854"
"4069, -3.888281, -26.13774"
"4199, -4.429688, -31.48162"
"4325, 0.4429688, -30.76851"
"4456, 8.022655, -20.85819"
"4583, 12.74766, -5.370666"
"4719, 13.14141, 10.42339"
"4840, 10.97578, 23.51186"
"4965, 5.758594, 30.22104"
"5096, -3.789844, 25.31814"
"5225, -2.953125, 21.78423"
"5353, 2.067187, 24.45143"
"5482, 4.085156, 29.43752"
"5608, 0.984375, 30.50718"
"5734, -7.333593, 21.39212"
"5864, -12.69844, 5.939852"
"5986, -13.23984, -9.981904"
"6109, -10.04062, -21.91057"
"6229, -2.657813, -24.80399"
"6353, 2.3625, -21.76092"
"6476, -0.2953125, -22.20345"
"6606, -4.085156, -27.24808"
"6733, -4.134375, -32.21955"
"6861, 2.510156, -28.9618"
"6993, 9.942188, -16.7517"
"7120, 13.14141, -0.8479967"
"7255, 12.6, 14.26053"
"7375, 11.17266, 27.61123"
"7505, 1.919531, 29.57605"
"7638, -4.725, 23.65124"
"7763, -1.18125, 22.35265"
"7892, 3.248437, 26.4194"
"8020, 2.559375, 29.47518"
"8150, -1.673438, 27.31386"
"8285, -8.367188, 17.03059"
"8408, -13.87969, 0.1497498"
"8534, -11.56641, -13.65697"
"8657, -7.579687, -22.59475"
"8782, -1.673438, -24.37304"
"8913, 0.5414063, -23.6305"
"9037, -2.3625, -26.56993"
"9167, -3.445313, -30.74957"
"9295, -0.6890625, -31.47773"
"9422, 6.69375, -23.1638"
"9549, 12.15703, -8.357973"
"9681, 13.19062, 7.520417"
"9804, 11.22187, 20.91452"
"9926, 5.90625, 27.79468"
"10056, -0.4429688, 27.02105"
"10188, -3.789844, 22.33894"
"10320, -2.214844, 19.72976"
"10450, 1.033594, 21.08975"
"10578, 2.75625, 24.4676"
"10705, 0.2953125, 24.73495"
"10831, -9.253124, 13.26692"
"10954, -13.48594, -3.098561"
"11076, -11.71406, -17.09799"
"11195, -6.644531, -24.86817"
"11325, 0.4429688, -24.06801"
"11452, 1.328906, -22.42466"
"11577, -1.525781, -24.35926"
"11707, -3.54375, -28.69088"
"11834, -1.378125, -30.2685"
"11969, 6.841406, -21.76709"
"12104, 12.40313, -6.67404"
"12228, 13.92891, 10.11162"
"12350, 12.45234, 25.00197"
"12472, 6.546094, 32.62683"
"12606, -3.642188, 27.88444"
"12740, -5.020312, 21.79068"
"12873, 1.476563, 23.7875"
"13001, 4.085156, 28.79879"
"13130, 0.8859375, 29.75064"
"13265, -7.284375, 20.71744"
"13396, -12.94453, 4.963617"
"13521, -14.12578, -12.0445"
"13643, -11.27109, -25.46349"
"13766, -3.445313, -29.29261"
"13891, 3.396094, -24.93966"
"14021, 1.722656, -22.91679"
"14147, -2.510156, -26.0896"
"14272, -2.067187, -28.56313"
"14403, 2.3625, -25.56833"
"14528, 9.253124, -14.19589"
"14653, 12.89531, 1.431539"
"14776, 13.14141, 17.21992"
"14899, 8.170313, 26.83564"
"15025, 0.8367188, 27.55688"
"15154, -2.460938, 24.46592"
"15283, 0.6890625, 25.39901"
"15410, 3.051562, 29.15538"
"15536, 1.673438, 31.11802"
"15661, -4.429688, 25.57015"
"15785, -10.97578, 12.13717"
"15910, -12.55078, -2.998676"
"16033, -8.6625, -13.24867"
"16154, -4.134375, -18.02682"
"16277, -2.264062, -20.66053"
"16409, -2.116406, -23.19021"
"16536, -4.282031, -28.40771"
"16661, -4.085156, -33.30722"
"16794, 0.984375, -31.946"
"16932, 8.121094, -21.94639"
"17059, 12.89531, -6.27871"
"17194, 12.69844, 8.963262"
"17313, 10.2375, 21.15158"
"17437, 6.004687, 28.19099"
"17564, -0.04921875, 27.89784"
"17699, -1.870313, 25.57674"
"17828, 1.033594, 26.91861"
"17953, 2.411719, 29.87102"
"18084, -0.4429688, 29.24008"
"18211, -6.447657, 21.27624"
"18336, -11.07422, 7.798207"
"18467, -12.45234, -7.205014"
"18590, -9.154688, -18.06933"
"18712, -4.232813, -22.95192"
"18838, 0.3445313, -22.35456"
"18962, -1.624219, -24.36666"
"19092, -3.642188, -28.81406"
"19224, -3.15, -32.58084"
"19351, 2.707031, -29.113"
"19479, 10.18828, -16.59909"
"19616, 12.89531, -1.016276"
"19744, 12.74766, 14.28183"
"19863, 10.13906, 26.34604"
"19987, 1.673438, 28.02966"
"20118, -4.33125, 22.59751"
"20251, -2.608594, 19.5154"
"20384, 1.427344, 21.3741"
"20518, 3.986719, 26.25648"
"20648, 3.396094, 30.31606"
"20773, -7.678125, 20.68491"
"20903, -13.87969, 3.780443"
"21026, -14.12578, -13.19501"
"21142, -10.77891, -25.99734"
"21261, -1.870313, -27.88257"
"21385, 3.54375, -23.40154"
"21516, 1.18125, -22.05596"
"21648, -3.346875, -26.23689"
"21775, -3.100781, -29.95842"
"21899, 3.051562, -26.06347"
"22029, 9.400782, -14.53897"
"22161, 12.69844, 0.8298807"
"22285, 13.23984, 16.74631"
"22405, 9.203907, 27.63507"
"22532, 2.017969, 29.78121"
"22667, -3.691406, 25.138"
"22796, -0.6890625, 24.40904"
"22923, 2.903906, 28.03159"
"23057, 1.821094, 30.1865"
"23182, -4.134375, 24.99776"
"23313, -10.77891, 11.81096"
"23443, -12.99375, -3.87636"
"23566, -10.77891, -16.73284"
"23685, -5.266406, -22.82877"
"23810, -0.8859375, -23.7151"
"23936, -0.4921875, -24.28052"
"24063, -3.002344, -27.97553"
"24187, -3.494531, -32.19299"
"24311, -0.6398437, -32.85409"
"24442, 2.510156, -29.72244"
"24568, 2.953125, -26.15506"
"24693, 1.476563, -24.4373"
"24818, -1.722656, -26.62897"
"24946, -2.903906, -30.16439"
"25080, -2.510156, -33.16555"
