"Run time, Error, Target angle"
"115, -15.35625, 17.80896"
"252, -15.20859, -0.4413567"
"378, -5.364843, -6.511749"
"499, 11.025, 7.376397"
"612, 13.97812, 24.3169"
"732, 6.792188, 32.1992"
"857, -9.154688, 20.59315"
"987, -12.79688, 5.070313"
"1116, -4.971094, -0.618979"
"1238, 9.499218, 11.35816"
"1355, 13.09219, 27.24794"
"1481, 6.250781, 34.50232"
"1606, -8.367188, 23.89721"
"1734, -12.74766, 8.407309"
"1861, -4.725, 3.023173"
"1978, 10.92656, 16.78473"
"2099, 11.56641, 30.72931"
"2223, 2.707031, 33.64847"
"2350, -8.022655, 23.60123"
"2478, -9.991405, 11.51456"
"2603, -2.3625, 8.960644"
"2725, 8.121094, 19.12651"
"2850, 9.548437, 30.66349"
"2974, 2.165625, 32.98725"
"3096, -5.857031, 25.6358"
"3223, -7.136719, 17.00478"
"3348, -1.870313, 14.953"
"3470, 5.610937, 21.98575"
"3599, 5.217188, 28.24943"
"3722, 1.525781, 29.94068"
"3851, -2.460938, 26.83277"
"3974, -2.903906, 23.32196"
"4099, -1.821094, 21.1758"
"4224, 1.427344, 23.01406"
"4348, 3.592969, 27.41457"
"4477, 3.297656, 31.36615"
"4600, -0.7382813, 30.32459"
"4732, -2.903906, 26.75368"
"4861, -2.657813, 23.56826"
"4987, 0.2953125, 24.03309"
"5110, 2.214844, 26.77152"
"5233, 2.313281, 29.55611"
"5358, 0.9351563, 30.62738"
"5485, -0.590625, 29.85865"
"5615, -1.279687, 28.29459"
"5744, -1.132031, 26.9399"
"5874, -0.4921875, 26.37268"
"6000, 0.8859375, 27.48824"
"6133, 0.9351563, 28.61513"
"6259, 1.033594, 29.85943"
"6383, 0.9351563, 30.97815"
"6516, -0.2460938, 30.64075"
"6648, -0.7875, 29.67385"
"6772, -0.7875, 28.72753"
"6900, -0.7382813, 27.84333"
"7024, -0.590625, 27.14028"
"7155, -0.4429688, 26.61436"
"7284, 1.082813, 27.96935"
"7412, 1.033594, 29.21112"
"7538, 0.984375, 30.39064"
"7664, 0.2460938, 30.65808"
"7788, -0.5414063, 29.97687"
"7914, -1.082813, 28.65558"
"8038, -1.18125, 27.23299"
"8163, -1.132031, 25.8761"
"8287, 0.7382813, 26.833"
"8416, 0.6890625, 27.6622"
"8543, 0.4921875, 28.24567"
"8674, 0.3445313, 28.65342"
"8805, -0.0984375, 28.51891"
"8929, -0.39375, 28.03424"
"9055, -0.984375, 26.83022"
"9178, -1.082813, 25.52574"
"9309, -1.378125, 23.86107"
"9433, -0.0, 23.91302"
"9558, 0.6398437, 24.70801"
"9686, 0.3445313, 25.11224"
"9815, -0.0, 25.09904"
"9939, -0.2953125, 24.73267"
"10065, -0.5414063, 24.07316"
"10190, -0.8367188, 23.05732"
"10315, -1.18125, 21.62616"
"10445, -1.378125, 19.96448"
"10572, 0.2460938, 20.31907"
"10702, 1.18125, 21.77388"
"10829, 1.279687, 23.31539"
"10961, 0.196875, 23.51329"
"11088, -1.821094, 21.25152"
"11211, -2.264062, 18.51309"
"11340, -2.903906, 15.00379"
"11463, 0.7875, 16.08823"
"11590, 3.297656, 20.1474"
"11713, 2.510156, 23.13589"
"11838, -0.9351563, 21.88272"
"11963, -5.217188, 15.45323"
"12087, -5.709375, 8.572926"
"12208, 2.608594, 12.02395"
"12334, 7.530469, 21.26328"
"12459, 3.986719, 25.92712"
"12584, -4.528125, 20.16348"
"12708, -10.04062, 7.885963"
"12836, -6.3, 0.4501386"
"12959, 6.3, 8.498756"
"13076, 10.38516, 21.15398"
"13197, 5.758594, 27.89551"
"13325, -6.792188, 19.27344"
"13447, -12.6, 3.903045"
"13577, -7.924219, -5.449866"
"13696, 4.675781, 0.6670871"
"13813, 12.05859, 15.46504"
"13934, 7.924219, 24.8351"
"14058, -6.792188, 16.11847"
"14175, -13.33828, -0.1854439"
"14302, -7.333593, -8.779331"
"14423, 4.725, -2.629052"
"14541, 11.8125, 11.85764"
"14657, 8.613281, 22.08541"
"14781, -5.217188, 15.29016"
"14908, -13.53516, -1.28922"
"15033, -10.48359, -13.77424"
"15148, 3.248437, -9.316097"
"15272, 12.10781, 5.582741"
"15392, 8.908594, 16.17102"
"15509, -4.035937, 10.80344"
"15627, -12.64922, -4.750668"
"15748, -10.28672, -17.02627"
"15866, 3.297656, -12.52117"
"15985, 12.25547, 2.569501"
"16106, 8.121094, 12.17822"
"16223, -5.660156, 4.825894"
"16342, -11.86172, -9.689734"
"16465, -7.776563, -18.88275"
"16581, 2.903906, -14.96185"
"16704, 11.27109, -1.087911"
"16825, 8.022655, 8.43484"
"16946, -3.9375, 3.243289"
"17065, -11.8125, -11.2711"
"17183, -10.53281, -23.88111"
"17301, 0.8367188, -22.42387"
"17434, 11.07422, -8.743308"
"17562, 10.68047, 4.081629"
"17683, -1.870313, 1.351147"
"17801, -12.35391, -13.92041"
"17922, -11.22187, -27.37034"
"18040, 0.7382813, -26.00861"
"18172, 10.72969, -12.74898"
"18304, 9.105469, -1.858613"
"18429, -1.771875, -4.396082"
"18550, -10.58203, -17.46149"
"18669, -9.597656, -28.96278"
"18801, 1.771875, -26.42945"
"18927, 9.302343, -14.96364"
"19058, 6.595312, -7.129322"
"19182, -1.870313, -9.701781"
"19300, -9.154688, -20.99485"
"19424, -7.924219, -30.47562"
"19548, 2.3625, -27.24914"
"19677, 7.727344, -17.75931"
"19814, 4.823438, -12.05943"
"19943, -2.067187, -14.79863"
"20068, -7.530469, -24.05447"
"20192, -6.004687, -31.21517"
"20316, 1.919531, -28.61104"
"20443, 6.447657, -20.68698"
"20570, 4.035937, -15.92161"
"20701, -1.96875, -18.50623"
"20827, -5.315625, -25.02207"
"20958, -4.33125, -30.192"
"21082, 0.7382813, -29.11231"
"21213, 3.888281, -24.32103"
"21341, 3.642188, -19.95212"
"21472, -0.984375, -21.29875"
"21603, -4.380468, -26.68699"
"21736, -4.429688, -32.01179"
"21861, 0.39375, -31.35845"
"21996, 3.986719, -26.43865"
"22125, 3.839063, -21.82928"
"22256, -0.5414063, -22.63644"
"22384, -3.839063, -27.37381"
"22515, -3.9375, -32.10991"
"22640, 0.2460938, -31.65793"
"22767, 2.707031, -28.30982"
"22895, 2.608594, -25.17727"
"23030, -0.4429688, -25.8147"
"23162, -1.722656, -27.93362"
"23294, -1.722656, -30.00377"
"23424, -0.6398437, -30.73251"
"23550, 1.132031, -29.30562"
"23678, 1.18125, -27.88234"
"23807, 1.18125, -26.46451"
"23943, 0.984375, -25.29012"
"24068, -1.328906, -26.97222"
"24193, -1.378125, -28.63305"
"24322, -1.18125, -30.04377"
"24449, -0.1476563, -30.18255"
"24577, 1.082813, -28.83533"
"24707, 1.18125, -27.4115"
"24835, 1.328906, -25.81101"
"24959, 1.230469, -24.33783"
"25086, -0.7382813, -25.2969"
"25212, -1.378125, -26.97867"
"25340, -1.18125, -28.39053"
"25469, -0.2460938, -28.65162"
"25600, 1.18125, -27.1808"
"25728, 1.427344, -25.45573"
"25863, 1.673438, -23.43838"
"25997, 0.0984375, -23.3756"
"26122, -0.04921875, -23.44353"
"26247, -0.4429688, -23.99043"
"26379, -0.1476563, -24.15794"
"26506, 0.196875, -23.90845"
"26641, 0.4429688, -23.36748"
"26767, 0.7875, -22.40916"
"26897, 1.132031, -21.03737"
"27031, 1.476563, -19.2527"
"27167, 0.2953125, -18.93893"
"27302, -0.0984375, -19.07309"
"27427, -0.04921875, -19.13126"
"27554, 0.2953125, -18.76407"
"27683, 0.7382813, -17.86109"
"27810, 1.18125, -16.42631"
"27937, 0.8367188, -15.43408"
"28072, 0.6890625, -14.61302"
"28202, 0.3445313, -14.21232"
"28326, 0.3445313, -13.79965"
"28458, 0.6398437, -13.02134"
"28579, 0.4429688, -12.49676"
"28703, 0.5414063, -11.84376"
"28823, 0.04921875, -11.80373"
"28940, -0.04921875, -11.86794"
"29062, 0.04921875, -11.8054"
"29186, 0.590625, -11.07609"
"29305, 1.18125, -9.634037"
"29425, 0.9351563, -8.519939"
"29549, 0.590625, -7.824732"
"29667, -0.39375, -8.337163"
"29792, -0.04921875, -8.385579"
"29911, 0.2460938, -8.077969"
"30030, 0.6890625, -7.232877"
"30147, 1.328906, -5.611639"
"30270, 1.821094, -3.405921"
"30393, 0.8367188, -2.438203"
"30511, -0.2953125, -2.840189"
"30629, -0.1476563, -3.014523"
"30751, 0.4921875, -2.399295"
"30868, 1.132031, -1.013469"
"30985, 1.673438, 1.018064"
"31103, 0.9351563, 2.112643"
"31222, -0.6398437, 1.281071"
