Run time, Error, Target angle
124, -14.61797, 22.34193
251, -12.79688, 19.78255
450, -8.121094, 18.2713
580, -3.9375, 17.6408
772, 2.264062, 18.25575
908, 3.642188, 19.04101
1099, 4.872656, 20.04874
1228, 5.069531, 21.0717
1422, 4.33125, 21.92002
1557, 3.789844, 22.65806
1746, 3.002344, 23.23773
1876, 2.017969, 23.60445
2070, -1.771875, 23.15432
2196, -4.872656, 22.05836
2388, -9.00703, 20.14874
2512, -11.66484, 17.70854
2705, -12.25547, 15.2385
2827, -12.89531, 12.63386
3016, -14.76563, 9.632221
5144, -14.91328, 6.649565
5262, -13.43672, 3.962221
5448, -7.628906, 2.586934
5568, -4.232813, 1.881333
5753, 2.903906, 2.652857
5871, 6.792188, 4.177694
6059, 10.18828, 6.308762
6180, 10.68047, 8.469703
6364, 11.07422, 10.69583
6487, 11.91094, 13.1109
6675, 10.82813, 15.25024
6799, 9.745312, 17.15668
6988, 7.727344, 18.64947
7116, 7.579687, 20.15689
7311, 4.872656, 21.0644
7441, 4.085156, 21.84879
7576, 2.460938, 22.28235
7773, -2.75625, 21.60155
7898, -5.414063, 20.41184
8088, -10.18828, 18.2493
8213, -12.20625, 15.72468
8399, -12.94453, 13.11321
8521, -14.12578, 10.24158
8710, -15.25781, 7.159403
8833, -15.60234, 4.023919
10739, -12.84609, 1.4547
10859, -11.32031, -0.8093624
11045, -2.559375, -1.096549
11163, 1.870313, -0.5324512
11280, 6.103125, 0.8696455
11466, 10.28672, 3.042283
11586, 11.46797, 5.389625
11772, 10.87734, 7.552073
11891, 11.91094, 9.973839
12075, 11.91094, 12.35768
12804, 10.72969, 14.49563
12992, 8.810156, 16.2081
13122, 6.644531, 17.45625
13309, 2.411719, 17.82674
13436, -0.5414063, 17.60245
13624, -5.660156, 16.3351
13749, -9.154688, 14.36465
13931, -12.25547, 11.82609
14053, -13.53516, 9.064471
14236, -13.83047, 6.28837
14356, -14.66719, 3.321615
14542, -15.55313, 0.1866596
16006, -14.175, -2.64834
16125, -12.64922, -5.178185
16308, -6.152344, -6.238541
16431, -2.805469, -6.66045
16617, 2.805469, -5.949002
16737, 6.742969, -4.438464
16921, 11.41875, -2.025535
17038, 12.6, 0.5495169
17335, 14.47031, 3.475681
18812, 12.25547, 5.926775
18936, 11.12344, 8.151463
19121, 5.561719, 9.119689
19244, 1.722656, 9.308887
19430, -4.429688, 8.258822
19552, -7.432032, 6.646854
19733, -11.91094, 4.140862
19858, -12.89531, 1.517035
20042, -13.83047, -1.275273
21526, -13.53516, -3.982305
21647, -12.10781, -6.403867
21833, -5.807813, -7.403023
21956, -3.15, -7.922523
22138, 3.297656, -7.088649
22262, 6.398438, -5.680957
22443, 11.27109, -3.292412
22563, 12.64922, -0.6998737
22745, 13.83047, 2.099939
24437, 12.6, 4.619939
24623, 8.514843, 6.322908
24749, 5.463282, 7.301664
24934, -0.6890625, 6.999732
25052, -4.725, 5.884154
25239, -9.794531, 3.788269
25357, -12.15703, 1.254427
25542, -12.89531, -1.348113
25664, -14.22422, -4.245121
25846, -13.58438, -6.947262
25969, -14.12578, -9.792044
26152, -13.63359, -12.50663
26275, -13.43672, -15.18578
26464, -10.92656, -17.30704
26590, -9.154688, -19.06804
26781, -7.235156, -20.46403
26913, -6.742969, -21.79214
27105, -5.414063, -22.84074
27234, -5.266406, -23.88664
27424, -4.232813, -24.7068
27552, -3.9375, -25.48198
27747, -3.199219, -26.10306
27875, -3.15, -26.73018
