Run time, Error, Target angle
125, -12.69844, 27.73693
253, -9.302343, 25.87646
389, -4.134375, 25.22908
520, -0.5414063, 25.25936
653, 2.165625, 25.79633
780, 2.854688, 26.39916
912, 2.165625, 26.80948
1046, 0.196875, 26.77823
1174, -3.199219, 26.0103
1307, -7.333593, 24.3886
1437, -11.91094, 21.83284
1559, -14.22422, 18.88759
3160, -15.50391, 15.78681
3283, -12.64922, 13.25696
3406, -7.0875, 12.05345
3532, -0.04921875, 12.31698
3656, 4.872656, 13.49604
3781, 6.890625, 14.9623
3907, 8.071875, 16.626
4033, 8.317968, 18.3017
4159, 7.038281, 19.66232
4288, 5.955469, 20.81145
4424, 3.248437, 21.3648
4555, 0.39375, 21.33453
4684, -4.774219, 20.18609
4808, -10.58203, 17.83618
4929, -13.3875, 15.03644
5053, -15.25781, 11.90604
6516, -13.43672, 9.218699
6635, -9.548437, 7.309011
6755, 1.18125, 7.96783
6880, 7.678125, 9.773067
7004, 10.28672, 11.94551
7125, 10.97578, 14.17423
7605, 8.317968, 15.81108
7732, 6.989062, 17.15845
7861, 4.183594, 17.88982
7987, 0.2460938, 17.78581
8113, -5.561719, 16.44589
8237, -10.48359, 14.14896
8359, -13.87969, 11.23119
9697, -14.91328, 8.248531
9817, -12.30469, 5.787594
9942, -4.380468, 5.209498
10061, 2.608594, 6.02285
10186, 7.727344, 7.77986
10310, 10.58203, 10.01719
10429, 12.45234, 12.5889
11033, 9.105469, 14.38374
11157, 7.284375, 15.77003
11286, 3.396094, 16.30212
11407, -3.248437, 15.38778
11533, -9.351563, 13.27212
11652, -13.19062, 10.46872
11768, -15.06094, 7.370483
11889, -15.55313, 4.235274
13026, -12.50156, 1.734962
13146, -9.351563, -0.1353508
13267, -1.230469, -0.0665704
13390, 6.890625, 1.640754
13510, 10.92656, 4.002863
13632, 13.68281, 6.857202
13752, 13.92891, 9.659793
14436, 11.32031, 11.90517
14564, 9.203907, 13.66703
14688, 4.478907, 14.37901
14815, -3.54375, 13.3622
14936, -10.28672, 11.0244
15053, -13.83047, 8.09992
15171, -15.25781, 4.981691
16290, -13.87969, 2.205754
16413, -10.97578, 0.01059747
16535, -4.774219, -0.707469
16655, 3.297656, 0.2821992
16779, 10.48359, 2.67334
16901, 12.89531, 5.362373
17020, 13.73203, 8.148941
17818, 11.61563, 10.45935
17943, 9.351563, 12.24311
18068, 3.839063, 12.80002
18193, -3.54375, 11.79881
18318, -9.203907, 9.727672
18439, -13.23984, 6.909005
18554, -15.55313, 3.694113
19685, -11.8125, 1.331613
19804, -7.825781, -0.2335436
19924, 0.5414063, 0.2016888
20045, 6.841406, 1.832377
20165, 11.61563, 4.358376
20282, 14.02734, 7.274148
21086, 14.07656, 10.09085
21209, 11.96016, 12.40277
21335, 7.579687, 13.75044
21462, -1.082813, 13.20056
21584, -7.973438, 11.32035
21709, -12.50156, 8.634062
21826, -15.15937, 5.483042
21943, -15.60234, 2.337461
22965, -12.30469, -0.123476
23083, -9.154688, -1.954414
23206, -2.707031, -2.251512
23325, 6.595312, -0.5507807
23443, 11.91094, 2.06841
23559, 14.02734, 4.973657
23681, 14.32266, 7.855795
24471, 12.50156, 10.34489
24597, 10.58203, 12.38843
24718, 4.971094, 13.16061
24845, -3.54375, 12.12572
24969, -10.53281, 9.734667
25086, -13.33828, 6.935585
25204, -15.60234, 3.716938
25319, -15.60234, 0.590167
26345, -11.07422, -1.624677
26466, -6.447657, -2.914208
26580, 1.919531, -2.190055
26701, 8.810156, -0.1398623
26821, 12.94453, 2.629931
27850, 13.68281, 5.366493
27968, 11.07422, 7.581337
28086, 6.644531, 8.732996
28202, -0.5414063, 8.323482
28325, -6.546094, 6.766698
28442, -11.86172, 4.165892
28564, -13.83047, 1.310062
28685, -15.50391, -1.861139
29476, -13.23984, -4.495641
29598, -11.71406, -6.77938
29720, -4.626562, -7.428391
29842, 2.3625, -6.667858
29961, 7.382813, -4.975525
30080, 12.45234, -2.273544
30197, 15.30703, 0.9165888
31340, 12.25547, 3.367682
31460, 9.203907, 5.208464
31577, 0.6890625, 5.002819
31702, -6.201563, 3.482821
31818, -11.61563, 0.9252489
31936, -14.32266, -2.061552
32051, -15.11016, -5.123848
32283, -14.76563, -8.071154
32628, -14.22422, -10.9082
32746, -14.22422, -13.75255
32865, -12.55078, -16.19677
32987, -10.63125, -18.24452
33113, -8.908594, -19.95779
33237, -7.235156, -21.33729
33363, -6.103125, -22.51165
